row,col,proxy_class,spatial_block,partition,blue,green,red,nir08,swir16,swir22,NDVI,NDBI,MNDWI,BSI
219,584,6,38,development,0.03859,0.0635875,0.030725002,0.024867505,0.015324995,0.010622501,-0.105364874,-0.23742017,0.6115952,-0.15896177
40,426,4,6,development,0.04299,0.073515,0.074807495,0.24264002,0.18351501,0.123455,0.5286938,-0.1387406,-0.42796564,-0.050202012
386,484,4,57,development,0.013702497,0.024207503,0.02143,0.07637499,0.051570013,0.034465,0.56178105,-0.1938722,-0.3610901,-0.10472
618,109,2,91,development,0.1492775,0.21817875,0.27689123,0.36370876,0.45166752,0.4197125,0.13552535,0.10787504,-0.34857067,0.17363249
379,259,5,53,outer_proxy_test,0.08113249,0.11746,0.14220999,0.28796,0.30638504,0.21910001,0.33881953,0.031000592,-0.44574082,0.097228564
351,548,4,58,development,0.011529997,0.019229993,0.015049994,0.066750005,0.035812497,0.019724995,0.6320295,-0.3016454,-0.30126733,-0.21230434
277,54,3,40,development,0.052889988,0.08071999,0.071892485,0.2953025,0.19740249,0.124445006,0.60842335,-0.19869906,-0.41953638,-0.12777188
23,228,3,3,development,0.065333754,0.10833,0.124871254,0.26932874,0.2516875,0.1926175,0.36645734,-0.0338593,-0.39819595,0.058907486
343,326,1,54,development,0.051460013,0.079537496,0.086412504,0.19066499,0.16924249,0.13101749,0.3762575,-0.059522256,-0.3605796,0.027180655
519,371,5,75,development,0.04376,0.069898754,0.07644375,0.28965124,0.22483374,0.13407,0.582383,-0.12598522,-0.52568,-0.05062916
498,574,4,78,development,0.009247504,0.0144724995,0.009398751,0.05339876,0.018253751,0.008601248,0.7006649,-0.49049234,-0.11554185,-0.3875331
118,263,2,13,development,0.0797575,0.123083755,0.148865,0.17629625,0.21311875,0.1906925,0.084361985,0.0945585,-0.26779988,0.17139737
520,401,5,75,development,0.047004998,0.07224999,0.08292,0.25520748,0.2241325,0.13673751,0.50953406,-0.0648287,-0.5124544,0.007944025
372,233,3,53,outer_proxy_test,0.047623754,0.0806375,0.08538124,0.2395325,0.196935,0.12847376,0.4744375,-0.09759605,-0.4189806,-0.008499122
361,350,4,55,outer_proxy_test,0.025802493,0.038315,0.037379995,0.11666249,0.08393751,0.056354985,0.5146794,-0.16313548,-0.37318262,-0.08017012
529,370,4,75,development,0.03942875,0.06294124,0.064164996,0.25703624,0.19334625,0.11246875,0.6004686,-0.14141312,-0.50882316,-0.07031659
510,100,1,71,development,0.08087124,0.11711626,0.13891,0.1963025,0.22079125,0.20051,0.17121232,0.05871281,-0.30681473,0.12958191
43,594,5,8,development,0.038672492,0.060232505,0.06372501,0.17215751,0.15211,0.11000751,0.45968857,-0.061824005,-0.43268535,0.011730519
482,8,2,70,development,0.08131124,0.1287075,0.15897125,0.2198425,0.24847001,0.21776626,0.16068912,0.061129086,-0.31752294,0.14999759
606,204,6,93,development,0.0387825,0.083772495,0.07548125,0.058775008,0.06204751,0.05962749,-0.12443549,0.027085213,0.14898494,0.17002803
566,334,4,84,development,0.025995001,0.05365999,0.042687498,0.22062625,0.14309,0.07682876,0.67576706,-0.21317787,-0.45453626,-0.14071217
437,171,1,62,development,0.09238,0.13506,0.1497175,0.2447025,0.2587275,0.2246825,0.24082199,0.027858863,-0.31404626,0.095720805
102,217,1,13,development,0.07777749,0.109952495,0.12524249,0.18907,0.19798,0.1820025,0.20307025,0.023020282,-0.28586626,0.0955395
211,553,6,38,development,0.046399996,0.06133251,0.029762492,0.022640005,0.013647497,0.009357497,-0.13591884,-0.24781282,0.6359697,-0.22792365
49,368,4,5,development,0.032773748,0.060988754,0.053467505,0.27653375,0.17582874,0.09269625,0.6759557,-0.22262017,-0.48493034,-0.14855313
588,27,2,80,development,0.10493375,0.16192749,0.2061475,0.2860625,0.37613878,0.30595878,0.16235955,0.1360255,-0.3981132,0.19654109
472,553,5,78,development,0.06820749,0.10164751,0.115095004,0.2698375,0.27503502,0.2053775,0.40199903,0.009538975,-0.46030146,0.07152819
236,132,3,31,development,0.043278746,0.07264875,0.08210875,0.19514751,0.17547125,0.1355825,0.407705,-0.05309032,-0.41440633,0.03861587
605,206,6,93,development,0.0430725,0.07801126,0.07202999,0.07025625,0.07893251,0.068785,-0.012466032,0.058156263,-0.005869933,0.142395
45,279,1,4,outer_proxy_test,0.06600751,0.10008,0.11556251,0.19456999,0.1822225,0.15304501,0.25475395,-0.03277,-0.29097334,0.066636845
134,86,3,21,development,0.062982485,0.096119985,0.098979995,0.22438,0.23331751,0.16783999,0.3878031,0.019527106,-0.41645995,0.0725156
384,326,4,54,development,0.018130004,0.036087498,0.028854996,0.16258751,0.09202249,0.047362506,0.69855183,-0.2771494,-0.43661696,-0.19841185
219,196,3,32,development,0.06751999,0.09992875,0.12461001,0.22229001,0.22755626,0.1864575,0.2815797,0.011706775,-0.38972014,0.09713173
529,218,2,73,development,0.08010125,0.109897494,0.12802,0.16922875,0.21936125,0.19480374,0.13863386,0.1290113,-0.3324551,0.16431941
106,413,5,16,development,0.0639175,0.09760499,0.10900375,0.3188425,0.28261125,0.1927,0.49045363,-0.060239457,-0.48658168,0.011435049
265,553,3,38,development,0.05705625,0.088145,0.10536,0.20445625,0.20397499,0.16075875,0.31985494,-0.0011783203,-0.39651513,0.08377452
527,85,2,71,development,0.08958876,0.1311825,0.16286251,0.2539975,0.27554375,0.2246275,0.21862254,0.04068851,-0.35493466,0.12125434
460,170,1,62,development,0.04794,0.078190014,0.08545001,0.18109499,0.15848999,0.12604,0.3588324,-0.06656656,-0.33927655,0.031513307
322,167,1,42,outer_proxy_test,0.08984999,0.13033001,0.14815001,0.25300747,0.26480502,0.2278725,0.26138726,0.022783436,-0.3403267,0.09274465
528,218,2,73,development,0.09585874,0.13151251,0.15332,0.19535376,0.27550247,0.25343376,0.12055327,0.17021906,-0.3537707,0.19111566
462,317,3,64,development,0.074395,0.12003124,0.1438875,0.24726,0.27271125,0.21833,0.2642801,0.048947405,-0.38875347,0.12860583
390,354,1,55,outer_proxy_test,0.049095005,0.07409249,0.083882496,0.20150001,0.17630999,0.1391025,0.4121399,-0.06667379,-0.40821278,0.018789517
599,3,2,80,development,0.0849825,0.1288175,0.15908125,0.2053225,0.2678025,0.24534875,0.12689565,0.13205813,-0.3504236,0.19043624
597,265,3,83,development,0.07614125,0.114462495,0.14138499,0.24893752,0.26564375,0.228505,0.27554786,0.032465674,-0.3977342,0.11193704
164,445,5,26,development,0.09046875,0.1278275,0.15167,0.29783252,0.34503627,0.262,0.3251651,0.07342673,-0.45934746,0.12249048
647,446,3,96,development,0.05058001,0.0804175,0.09524001,0.2422825,0.20955749,0.15288,0.43565238,-0.072426096,-0.4453487,0.01996954
