model,macro_f1_windows,ece_windows,macro_f1_colab,ece_colab,f1_colab_minus_windows
Logistic,0.8069049793885558,0.0498480726083552,0.8069049793885558,0.0497640897196306,0.0
RandomForest,0.8214328773275001,0.0143111138749503,0.8214328773275001,0.0143111138749503,0.0
ExtraTrees,0.8263536502950243,0.0294775809991421,0.8263536502950243,0.0294775809991421,0.0
HistGradientBoosting,0.8462698706179371,0.0514215377111516,0.8462698706179371,0.0514215377111516,0.0
MLP,0.8494898763540711,0.0202946674461926,0.8494898763540711,0.0202946674461926,0.0
XGBoost,0.8274799462354819,0.0181300099992478,0.8268723039217803,0.0167124017774204,-0.0006076423137015841
CatBoost,0.7924434254379098,0.016676757905237,0.7924434254379098,0.016676757905237,0.0
