weather_cell_id,requested_latitude,requested_longitude,returned_latitude,returned_longitude,elevation_m,model,start_date,end_date,variables,temporal_resolution,timezone,retrieved_utc,official_documentation,request_url,raw_file,sha256,bytes
OM_01,33.800003,72.90001,33.800003,72.90001,554.0,era5_seamless,1991-01-01,2025-12-31,"temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum",daily,GMT,2026-07-31T21:28:38.714079+00:00,https://open-meteo.com/en/docs/historical-weather-api,"https://archive-api.open-meteo.com/v1/archive?latitude=33.800003&longitude=72.90001&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum&timezone=UTC&models=era5_seamless",02_raw_data/open_meteo/OM_01_era5_seamless_daily_1991_2025.json,a1855e954d7629b74e43db19ae8c55582d72aa2b2703328c711e3aff5ae16e11,697906
OM_02,33.700005,72.8,33.700005,72.8,579.0,era5_seamless,1991-01-01,2025-12-31,"temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum",daily,GMT,2026-07-31T21:28:38.714079+00:00,https://open-meteo.com/en/docs/historical-weather-api,"https://archive-api.open-meteo.com/v1/archive?latitude=33.700005,33.800003,33.700005&longitude=72.8,72.8,72.90001&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum&timezone=UTC&models=era5_seamless",02_raw_data/open_meteo/OM_02_era5_seamless_daily_1991_2025.json,0648ce65c46f0e7d7320c1cf243edf4d65e56822e295e50cdefed5755a71e5d7,696635
OM_03,33.800003,72.8,33.800003,72.8,478.0,era5_seamless,1991-01-01,2025-12-31,"temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum",daily,GMT,2026-07-31T21:28:38.714079+00:00,https://open-meteo.com/en/docs/historical-weather-api,"https://archive-api.open-meteo.com/v1/archive?latitude=33.700005,33.800003,33.700005&longitude=72.8,72.8,72.90001&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum&timezone=UTC&models=era5_seamless",02_raw_data/open_meteo/OM_03_era5_seamless_daily_1991_2025.json,89a1d93d53e8640ddc2f05993ba6c5aad88b72bfe155451828255ba21b15a69e,697504
OM_04,33.700005,72.90001,33.700005,72.90001,586.0,era5_seamless,1991-01-01,2025-12-31,"temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum",daily,GMT,2026-07-31T21:28:38.714079+00:00,https://open-meteo.com/en/docs/historical-weather-api,"https://archive-api.open-meteo.com/v1/archive?latitude=33.700005,33.800003,33.700005&longitude=72.8,72.8,72.90001&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum&timezone=UTC&models=era5_seamless",02_raw_data/open_meteo/OM_04_era5_seamless_daily_1991_2025.json,d8c283643f07ffc2cde9dc2b78c37814127a2af6d84bc96e5fe56af888a1ddd9,697011
