radius_m,w_lower,w_upper,component_id,component_name,rank,top3
250,0.0,0.055248618784530495,139-001,Khanpur Cave,11,False
250,0.0,0.055248618784530495,139-003,Bhir Mound,17,False
250,0.0,0.055248618784530495,139-004,Sirkap,16,False
250,0.0,0.055248618784530495,139-005,Sirsukh,12,False
250,0.0,0.055248618784530495,139-006,Dharmarajika,7,False
250,0.0,0.055248618784530495,139-007,Khader Mohra,4,False
250,0.0,0.055248618784530495,139-008,Kalawan,14,False
250,0.0,0.055248618784530495,139-009,Giri complex,8,False
250,0.0,0.055248618784530495,139-010,Kunala,9,False
250,0.0,0.055248618784530495,139-011,Jandial,10,False
250,0.0,0.055248618784530495,139-012,Lalchak / Badalpur,15,False
250,0.0,0.055248618784530495,139-013,Mohra Moradu,5,False
250,0.0,0.055248618784530495,139-014,Pippala,3,True
250,0.0,0.055248618784530495,139-015,Jaulian,1,True
250,0.0,0.055248618784530495,139-016,Lalchak mounds,13,False
250,0.0,0.055248618784530495,139-017,Bhallar,6,False
250,0.0,0.055248618784530495,139-018,Giri Mosque / tombs,2,True
250,0.055248618784530495,0.05617977528089898,139-001,Khanpur Cave,12,False
250,0.055248618784530495,0.05617977528089898,139-003,Bhir Mound,17,False
250,0.055248618784530495,0.05617977528089898,139-004,Sirkap,16,False
250,0.055248618784530495,0.05617977528089898,139-005,Sirsukh,11,False
250,0.055248618784530495,0.05617977528089898,139-006,Dharmarajika,7,False
250,0.055248618784530495,0.05617977528089898,139-007,Khader Mohra,4,False
250,0.055248618784530495,0.05617977528089898,139-008,Kalawan,14,False
250,0.055248618784530495,0.05617977528089898,139-009,Giri complex,8,False
250,0.055248618784530495,0.05617977528089898,139-010,Kunala,9,False
250,0.055248618784530495,0.05617977528089898,139-011,Jandial,10,False
250,0.055248618784530495,0.05617977528089898,139-012,Lalchak / Badalpur,15,False
250,0.055248618784530495,0.05617977528089898,139-013,Mohra Moradu,5,False
250,0.055248618784530495,0.05617977528089898,139-014,Pippala,3,True
250,0.055248618784530495,0.05617977528089898,139-015,Jaulian,1,True
250,0.055248618784530495,0.05617977528089898,139-016,Lalchak mounds,13,False
250,0.055248618784530495,0.05617977528089898,139-017,Bhallar,6,False
250,0.055248618784530495,0.05617977528089898,139-018,Giri Mosque / tombs,2,True
250,0.05617977528089898,0.08695652173913059,139-001,Khanpur Cave,12,False
250,0.05617977528089898,0.08695652173913059,139-003,Bhir Mound,17,False
250,0.05617977528089898,0.08695652173913059,139-004,Sirkap,15,False
250,0.05617977528089898,0.08695652173913059,139-005,Sirsukh,11,False
250,0.05617977528089898,0.08695652173913059,139-006,Dharmarajika,7,False
250,0.05617977528089898,0.08695652173913059,139-007,Khader Mohra,4,False
250,0.05617977528089898,0.08695652173913059,139-008,Kalawan,14,False
250,0.05617977528089898,0.08695652173913059,139-009,Giri complex,8,False
250,0.05617977528089898,0.08695652173913059,139-010,Kunala,9,False
250,0.05617977528089898,0.08695652173913059,139-011,Jandial,10,False
250,0.05617977528089898,0.08695652173913059,139-012,Lalchak / Badalpur,16,False
250,0.05617977528089898,0.08695652173913059,139-013,Mohra Moradu,5,False
250,0.05617977528089898,0.08695652173913059,139-014,Pippala,3,True
250,0.05617977528089898,0.08695652173913059,139-015,Jaulian,1,True
250,0.05617977528089898,0.08695652173913059,139-016,Lalchak mounds,13,False
250,0.05617977528089898,0.08695652173913059,139-017,Bhallar,6,False
250,0.05617977528089898,0.08695652173913059,139-018,Giri Mosque / tombs,2,True
250,0.08695652173913059,0.09708737864077656,139-001,Khanpur Cave,12,False
250,0.08695652173913059,0.09708737864077656,139-003,Bhir Mound,16,False
250,0.08695652173913059,0.09708737864077656,139-004,Sirkap,15,False
250,0.08695652173913059,0.09708737864077656,139-005,Sirsukh,11,False
250,0.08695652173913059,0.09708737864077656,139-006,Dharmarajika,7,False
250,0.08695652173913059,0.09708737864077656,139-007,Khader Mohra,4,False
250,0.08695652173913059,0.09708737864077656,139-008,Kalawan,14,False
250,0.08695652173913059,0.09708737864077656,139-009,Giri complex,8,False
250,0.08695652173913059,0.09708737864077656,139-010,Kunala,9,False
250,0.08695652173913059,0.09708737864077656,139-011,Jandial,10,False
250,0.08695652173913059,0.09708737864077656,139-012,Lalchak / Badalpur,17,False
250,0.08695652173913059,0.09708737864077656,139-013,Mohra Moradu,5,False
250,0.08695652173913059,0.09708737864077656,139-014,Pippala,3,True
250,0.08695652173913059,0.09708737864077656,139-015,Jaulian,1,True
250,0.08695652173913059,0.09708737864077656,139-016,Lalchak mounds,13,False
250,0.08695652173913059,0.09708737864077656,139-017,Bhallar,6,False
250,0.08695652173913059,0.09708737864077656,139-018,Giri Mosque / tombs,2,True
250,0.09708737864077656,0.15624999999999958,139-001,Khanpur Cave,12,False
250,0.09708737864077656,0.15624999999999958,139-003,Bhir Mound,16,False
250,0.09708737864077656,0.15624999999999958,139-004,Sirkap,15,False
250,0.09708737864077656,0.15624999999999958,139-005,Sirsukh,10,False
250,0.09708737864077656,0.15624999999999958,139-006,Dharmarajika,7,False
250,0.09708737864077656,0.15624999999999958,139-007,Khader Mohra,4,False
250,0.09708737864077656,0.15624999999999958,139-008,Kalawan,14,False
250,0.09708737864077656,0.15624999999999958,139-009,Giri complex,8,False
