seed,macro_f1,overall_agreement,balanced_accuracy_fixed6,log_loss,brier,ece
311,0.8214328773275001,0.8127984718242598,0.8018376256530257,0.49768663809929314,0.2689232267553529,0.014311113874950366
733,0.8214314437549987,0.8127984718242598,0.8018874640258521,0.5002370644649226,0.2697730382605299,0.014224095530948392
2026,0.8205282527239247,0.8116045845272206,0.8008054448177154,0.4987384228122825,0.2697600966162123,0.013261161431309603
