variant,temperature,macro_f1,overall_agreement,balanced_accuracy_fixed6,log_loss,brier,ece
raw,1.0,0.8214328773275001,0.8127984718242598,0.8018376256530257,0.49768663809929314,0.2689232267553529,0.014311113874950366
OOF-temperature,1.6582819649609573,0.8214328773275001,0.8127984718242598,0.8018376256530257,0.5735452885082511,0.29991829937487186,0.13574432830631974
