experiment,macro_f1,overall_agreement,balanced_accuracy_fixed6,log_loss,brier,ece
bands-only,0.8244876875728213,0.795367717287488,0.8215339608416447,0.5619190388052212,0.2993290408364995,0.05154466166010351
indices-only,0.6705793579664245,0.6566380133715377,0.6506237407392442,0.8155723477399527,0.4490425039137521,0.033657073863078174
location-only,0.14038129690418089,0.2289875835721108,0.18173128620258425,1.9122405048758966,0.8507621597371502,0.14672158812865663
shuffled-development-labels,0.06990284985912627,0.15377268385864373,0.14881678498816783,1.7117067533652632,0.8174399382663007,0.0626781022098832
class-prior,0.04947810763182866,0.17430754536771728,0.16666666666666666,1.7062098388556344,0.8147032396717351,0.041005833167093386
