model,primary_selected,macro_f1,overall_agreement,balanced_accuracy_fixed6,log_loss,brier,ece,f1_low,f1_high
Logistic,False,0.8069049793885558,0.8032473734479465,0.7845893425411797,0.5519321713442603,0.2911636981119459,0.04976408971963061,0.6799687506959633,0.8219362818928178
RandomForest,True,0.8214328773275001,0.8127984718242598,0.8018376256530257,0.49768663809929314,0.2689232267553529,0.014311113874950366,0.6910988824552918,0.8351782871537495
ExtraTrees,False,0.8263536502950243,0.8161413562559694,0.8079762784504628,0.48623009684966145,0.2668022249318818,0.029477580999142175,0.6936545917495036,0.8404784950694048
HistGradientBoosting,False,0.8462698706179371,0.8347659980897804,0.8342186646511949,0.505124896258922,0.2517950354286648,0.05142153771115164,0.7039460542519538,0.8573129355116229
MLP,False,0.8494898763540711,0.8545845272206304,0.8283291406398753,0.42651926727400746,0.21792116652417623,0.020294667446192696,0.7229205291459244,0.8884648568847833
XGBoost,False,0.8268723039217803,0.8230659025787965,0.8085610249468482,0.4734117020220872,0.2554713610865344,0.01671240177742047,0.6990740564268404,0.8446154477853852
CatBoost,False,0.7924434254379098,0.8156638013371538,0.7665077512901686,0.48543783142490393,0.26430799545573075,0.01667675790523704,0.6803945755072699,0.8251428445408839
