primary,comparator,delta_macro_f1,ci_low,ci_high
RandomForest,Logistic,0.014527897938944379,0.0028086829477071726,0.028251187354432977
RandomForest,ExtraTrees,-0.004920772967524134,-0.009877843054668559,0.001389217879184489
RandomForest,HistGradientBoosting,-0.02483699329043698,-0.0662953076178663,-0.011710599373014052
RandomForest,MLP,-0.028056999026570995,-0.10634564584681042,0.050360505092289155
RandomForest,XGBoost,-0.005439426594280206,-0.058694991091218805,0.00935189997318036
RandomForest,CatBoost,0.028989451889590345,-0.005093918552008891,0.09896085557426587
