experiment,macro_f1,overall_agreement,balanced_accuracy_fixed6,log_loss,brier,ece
bands-only,0.8244876875728213,0.795367717287488,0.8215339608416447,0.5619412726183,0.29933713895966624,0.051331487605519456
indices-only,0.6705793579664245,0.6566380133715377,0.6506237407392442,0.8155723564712678,0.44904250821480163,0.033657073571174305
location-only,0.14038129690418089,0.2289875835721108,0.18173128620258425,1.9122405048758981,0.8507621597371501,0.14672158812865643
shuffled-development-labels,0.06990284985912627,0.15377268385864373,0.14881678498816783,1.7117067534572428,0.8174399383008558,0.06267810223364795
class-prior,0.04947810763182866,0.17430754536771728,0.16666666666666666,1.7062098388556344,0.8147032396717351,0.041005833167093386
