period,metric,n,effective_n_lag1,theil_sen_slope_per_year,theil_sen_intercept,scipy_slope_ci_low_95,scipy_slope_ci_high_95,moving_block_slope_ci_low_95,moving_block_slope_ci_high_95,kendall_tau,kendall_p_unadjusted,moving_block_p_two_sided,bootstrap_draws,block_length_years,status,fdr_adjusted_block_p
annual,precipitation_sum_mm,35,17.733210169098335,-10.303703703703693,21598.03703703702,-17.93666666666667,-2.5642857142856883,-17.914978439153344,-2.667899999999967,-0.30084033613445377,0.011020240921748563,0.008995502248875561,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.035982008995502246
annual,rx1day_mm,35,20.094812095860195,-0.623333333333333,1321.1533333333325,-1.843181818181818,0.25555555555555565,-1.5425814393939405,0.4033541666666666,-0.15630252100840336,0.1865903464088403,0.1549225387306347,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2711144427786107
annual,rx5day_mm,35,13.930731723685392,-1.7354166666666668,3617.8666666666672,-3.3769230769230774,-0.3269230769230769,-3.3891284722222235,-0.20185185185184637,-0.28403361344537814,0.016393190067244108,0.03948025987006497,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.11054472763618191
annual,heavy_precipitation_days,35,20.967171350308575,-0.14285714285714285,291.85714285714283,-0.2413793103448276,-0.058823529411764705,-0.22661777877295253,-0.0582010582010576,-0.4015875417816433,0.0011155290050040008,0.0014992503748125937,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.013993003498250875
annual,consecutive_dry_days,35,62.05589144095539,0.16666666666666666,-299.66666666666663,-0.3157894736842105,0.6666666666666666,-0.14169642857143042,0.4321658615136879,0.08998769120481312,0.45103542070345837,0.2028985507246377,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.31889318498645414
annual,temperature_mean_c,35,13.444130718985189,0.04175342465753417,-63.39553424657518,0.010342465753424629,0.06647260273972606,0.009929448312000488,0.0731331848959419,0.30756302521008405,0.009353334884500302,0.006496751624187906,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.03498250874562719
annual,annual_or_period_max_tmax_c,35,41.79364289232941,0.03333333333333328,-25.683333333333223,-0.021153846153846044,0.09375,-0.007872474747475454,0.07778645833333314,0.13659436878681427,0.24979078091226192,0.12043978010994502,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2594087571598816
annual,hot_days,35,23.168021930907635,0.18181818181818182,-348.0909090909091,-0.18181818181818182,0.48148148148148145,-0.17277972027971672,0.5227272727272663,0.14456806782811502,0.2266657120533193,0.30634682658670664,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.4084624354489422
annual,heatwave_max_days,35,53.419310581877504,0.03225806451612903,-56.77419354838709,-0.08695652173913043,0.17647058823529413,-0.044887798036466205,0.1143718664270179,0.07844973217525068,0.5201890442196464,0.3493253373313343,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.43256632553288576
annual,relative_humidity_mean_percent,35,13.248991323865766,-0.13114635904830527,326.27271088680516,-0.24409508020589832,0.008219178082191548,-0.2851618321193846,0.02554842881400529,-0.21344537815126052,0.071296880302187,0.11244377811094453,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2594087571598816
annual,soil_moisture_mean_m3m3,35,17.13791955288585,-0.0012777133825079034,2.8334779241306642,-0.001984216795711733,-0.0005175799086757992,-0.0022269643280435113,-0.00033348839296418154,-0.34789915966386553,0.0032853394798949675,0.006496751624187906,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.03498250874562719
annual,et0_sum_mm,35,14.460236268586963,2.285000000000044,-3176.1475000000887,-1.0806249999999977,5.027750000000014,-1.2405287047511238,5.594104048295499,0.16302521008403362,0.1683456938502612,0.21639180409795103,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.31889318498645414
DJF,precipitation_sum_mm,34,39.816354018083565,-2.5913043478260867,5387.9097826086945,-5.605000000000004,0.7181818181818187,-5.724235104669862,0.21438858695651564,-0.18360071301247774,0.12678148701660769,0.08195902048975512,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2086229612466494
DJF,temperature_mean_c,34,25.00695093273553,0.03336601307189541,-56.785498366013044,0.0071153846153846345,0.06497643467643456,0.01004437198490502,0.05842162032385436,0.28698752228163993,0.016998722030130732,0.0074962518740629685,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.03498250874562719
DJF,rx1day_mm,34,33.567451704108,-0.3133333333333333,666.2549999999999,-0.9233333333333335,0.24000000000000005,-0.805000000000005,0.18524067599068317,-0.12511215650840105,0.2992452510165815,0.20589705147426288,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.31889318498645414
DJF,consecutive_dry_days,34,36.64102028522346,0.06666666666666667,-110.9,-0.2916666666666667,0.45454545454545453,-0.18001612903225916,0.3083522727272711,0.046806974758897335,0.6995480744417047,0.44177911044477763,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.4947926036981509
MAM,precipitation_sum_mm,35,14.048331893754103,-3.743181818181814,7740.259090909082,-8.027083333333339,0.9099999999999795,-8.831998604465722,1.246509740259732,-0.18319327731092439,0.12163286793321139,0.14642678660669664,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2711144427786107
