model,inner_group_cv_macro_f1,overall_agreement,balanced_accuracy,macro_f1,macro_auroc_ovr,macro_auprc,log_loss,multiclass_brier,top_label_ece_10bin,best_parameters,development_samples,buffer_excluded_samples,test_samples,development_blocks,buffer_blocks,test_blocks,development_test_block_overlap,minimum_block_column_separation,validation_role,macro_f1_ci_low_95,macro_f1_ci_high_95,balanced_accuracy_ci_low_95,balanced_accuracy_ci_high_95,log_loss_ci_low_95,log_loss_ci_high_95,multiclass_brier_ci_low_95,multiclass_brier_ci_high_95,macro_auroc_ovr_ci_low_95,macro_auroc_ovr_ci_high_95,macro_auprc_ci_low_95,macro_auprc_ci_high_95,block_bootstrap_draws,auroc_auprc_bootstrap_draws,primary_selected_from_inner_cv
MLP sensitivity,0.8713108086905316,0.8330945558739254,0.8102608015837554,0.8307953507381036,0.9765074126399157,0.9101730854646127,0.4585303453729446,0.24059187697692627,0.014280458545848276,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [64, 32]}",12094,4467,4188,60,20,20,0,2,WorldCover-derived proxy land-cover agreement; not independent heritage-condition accuracy,0.700054020418951,0.8597302897598686,0.7318879125808203,0.8537522946006576,0.39125021327760656,0.5252969615393382,0.20733276699550762,0.2745842114386376,0.9700237779591412,0.9821678957870131,0.8839628088725388,0.9301917367927311,2000.0,500.0,True
Histogram gradient boosting,0.8626983223155338,0.826647564469914,0.7989833206359297,0.8214987501753276,0.974462523427999,0.9094042896845013,0.4832295142571102,0.2532530106282082,0.04068326513479922,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",12094,4467,4188,60,20,20,0,2,WorldCover-derived proxy land-cover agreement; not independent heritage-condition accuracy,0.6931473546425208,0.8503345462345804,0.7451517859305506,0.837701174058368,0.4176396867419801,0.5475967823857614,0.21988884461600433,0.28490821780198095,0.9679694062004455,0.9800750606210958,0.8784827426439911,0.9278924249463886,2000.0,500.0,False
Extra trees,0.8607070743326793,0.8204393505253104,0.8083688311225026,0.8263505368731537,0.9730902358303214,0.9043803213133893,0.49822224380332886,0.26489987088259814,0.016948474672471448,"{""max_depth"": 20, ""min_samples_leaf"": 1}",12094,4467,4188,60,20,20,0,2,WorldCover-derived proxy land-cover agreement; not independent heritage-condition accuracy,0.6853777566306727,0.8383130098172311,0.7495971786488379,0.8259333957714086,0.43522023237845714,0.5638401984883434,0.23580780933606837,0.2929328588734547,0.9668604413957927,0.9787820738350359,0.8687796935078822,0.9212988808139371,2000.0,500.0,False
Random forest,0.8596275684604141,0.8216332378223495,0.8097016558118888,0.82857020153935,0.9732024657734537,0.906213225616861,0.49992545759789314,0.26266659956440574,0.015829436876950393,"{""max_depth"": 16, ""min_samples_leaf"": 1}",12094,4467,4188,60,20,20,0,2,WorldCover-derived proxy land-cover agreement; not independent heritage-condition accuracy,0.688899437205606,0.8416613813064923,0.7515223931385876,0.8267913770296499,0.42789284336063943,0.5720970936462781,0.23130615908584548,0.2922715374341779,0.9664980903239274,0.979380566909431,0.8760549699886683,0.9235249933142783,2000.0,500.0,False
Regularised multinomial logistic,0.8436850702085258,0.8147086914995224,0.8350462124667523,0.8422250675565235,0.9706424853743957,0.8999089530690983,0.5271898244665405,0.2707879124621073,0.03457237965851813,"{""model__C"": 3.0}",12094,4467,4188,60,20,20,0,2,WorldCover-derived proxy land-cover agreement; not independent heritage-condition accuracy,0.6763355778983142,0.8596216017624164,0.799473737560203,0.857096616348056,0.46084064100139993,0.6020385088558051,0.23711449119955724,0.3047193565189013,0.96466120667339,0.9763830424549592,0.8689373430903643,0.9173220706973654,2000.0,500.0,False
