,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6
reference_1,729,63,93,0,2,0
reference_2,56,663,8,0,2,1
reference_3,39,45,772,21,60,0
reference_4,1,0,26,569,89,0
reference_5,6,21,124,12,696,0
reference_6,1,29,0,0,0,60
