season_year,season,complete_period,valid_days,missing_weather_values,precipitation_sum_mm,precipitation_mean_mm_day,rx1day_mm,rx5day_mm,wet_days_ge1mm,heavy_precipitation_days,consecutive_wet_days,consecutive_dry_days,temperature_mean_c,tmax_mean_c,tmin_mean_c,annual_or_period_max_tmax_c,hot_days,heatwave_max_days,relative_humidity_mean_percent,dew_point_mean_c,soil_moisture_mean_m3m3,et0_sum_mm
1991,MAM,True,92,0,520.3,5.655434782608695,42.45,115.30000000000001,37,5,5,9,18.974456521739125,24.68777173913044,12.834782608695654,34.05,0,0,66.67934782608695,11.785326086956525,0.338,382.13250000000005
1991,Monsoon,True,92,0,612.4999999999999,6.657608695652173,152.2,231.29999999999998,56,4,9,8,26.56521739130435,30.59864130434783,22.56440217391304,39.975,6,4,77.60054347826087,21.83423913043478,0.3585054347826087,380.65250000000003
1991,Post-monsoon,True,61,0,9.8,0.16065573770491803,3.45,5.7,3,0,2,44,16.587704918032788,23.481557377049185,10.502049180327871,27.7,0,0,62.709016393442624,8.657786885245901,0.22475819672131148,178.26749999999996
1992,DJF,True,91,0,349.9,3.8450549450549447,103.69999999999999,171.4,22,2,8,19,10.08021978021978,15.912087912087912,4.8464285714285715,21.125,0,0,71.73901098901099,4.638186813186813,0.3190082417582417,164.3175
1992,MAM,True,92,0,406.8,4.421739130434783,63.15,194.85,34,3,8,11,18.780706521739127,24.74538043478261,12.482880434782608,36.175,0,0,65.00271739130434,11.14320652173913,0.3275597826086956,392.8175
1992,Monsoon,True,92,0,716.8999999999999,7.792391304347825,204.45,221.6,45,3,10,14,25.92880434782609,30.111956521739128,21.812771739130433,38.8,3,3,78.45108695652173,21.50679347826087,0.34714673913043476,373.965
1992,Post-monsoon,True,61,0,96.5,1.5819672131147542,42.25,51.1,8,1,4,23,16.788114754098363,23.40081967213115,11.16762295081967,29.075,0,0,70.0327868852459,10.606147540983606,0.2738483606557377,167.8975
1993,DJF,True,90,0,176.05,1.9561111111111111,36.6,68.85,18,1,4,30,9.910833333333333,16.246944444444445,4.267777777777778,24.05,0,0,70.825,4.260555555555556,0.3402027777777778,172.695
1993,MAM,True,92,0,362.4500000000001,3.9396739130434795,69.5,144.55,24,3,5,22,20.018478260869564,26.413043478260875,12.943206521739128,39.1,5,5,59.42663043478261,10.554891304347825,0.28586413043478265,438.92499999999995
1993,Monsoon,True,92,0,357.5,3.885869565217391,51.650000000000006,121.75,38,3,6,12,26.727989130434782,31.19130434782608,22.218206521739134,36.775,0,0,73.94021739130434,21.252717391304344,0.2884836956521739,411.3925
