epoch_id,label_year,weather_provider,precipitation_preceding_7d_mm_mean,precipitation_preceding_7d_mm_median,precipitation_preceding_7d_mm_min,precipitation_preceding_7d_mm_max,temperature_mean_preceding_7d_c_mean,temperature_mean_preceding_7d_c_median,temperature_mean_preceding_7d_c_min,temperature_mean_preceding_7d_c_max,tmax_max_preceding_7d_c_mean,tmax_max_preceding_7d_c_median,tmax_max_preceding_7d_c_min,tmax_max_preceding_7d_c_max,data_completeness_preceding_7d_mean,data_completeness_preceding_7d_median,data_completeness_preceding_7d_min,data_completeness_preceding_7d_max,precipitation_preceding_30d_mm_mean,precipitation_preceding_30d_mm_median,precipitation_preceding_30d_mm_min,precipitation_preceding_30d_mm_max,temperature_mean_preceding_30d_c_mean,temperature_mean_preceding_30d_c_median,temperature_mean_preceding_30d_c_min,temperature_mean_preceding_30d_c_max,tmax_max_preceding_30d_c_mean,tmax_max_preceding_30d_c_median,tmax_max_preceding_30d_c_min,tmax_max_preceding_30d_c_max,data_completeness_preceding_30d_mean,data_completeness_preceding_30d_median,data_completeness_preceding_30d_min,data_completeness_preceding_30d_max,precipitation_preceding_90d_mm_mean,precipitation_preceding_90d_mm_median,precipitation_preceding_90d_mm_min,precipitation_preceding_90d_mm_max,temperature_mean_preceding_90d_c_mean,temperature_mean_preceding_90d_c_median,temperature_mean_preceding_90d_c_min,temperature_mean_preceding_90d_c_max,tmax_max_preceding_90d_c_mean,tmax_max_preceding_90d_c_median,tmax_max_preceding_90d_c_min,tmax_max_preceding_90d_c_max,data_completeness_preceding_90d_mean,data_completeness_preceding_90d_median,data_completeness_preceding_90d_min,data_completeness_preceding_90d_max,precipitation_preceding_180d_mm_mean,precipitation_preceding_180d_mm_median,precipitation_preceding_180d_mm_min,precipitation_preceding_180d_mm_max,temperature_mean_preceding_180d_c_mean,temperature_mean_preceding_180d_c_median,temperature_mean_preceding_180d_c_min,temperature_mean_preceding_180d_c_max,tmax_max_preceding_180d_c_mean,tmax_max_preceding_180d_c_median,tmax_max_preceding_180d_c_min,tmax_max_preceding_180d_c_max,data_completeness_preceding_180d_mean,data_completeness_preceding_180d_median,data_completeness_preceding_180d_min,data_completeness_preceding_180d_max,precipitation_preceding_365d_mm_mean,precipitation_preceding_365d_mm_median,precipitation_preceding_365d_mm_min,precipitation_preceding_365d_mm_max,temperature_mean_preceding_365d_c_mean,temperature_mean_preceding_365d_c_median,temperature_mean_preceding_365d_c_min,temperature_mean_preceding_365d_c_max,tmax_max_preceding_365d_c_mean,tmax_max_preceding_365d_c_median,tmax_max_preceding_365d_c_min,tmax_max_preceding_365d_c_max,data_completeness_preceding_365d_mean,data_completeness_preceding_365d_median,data_completeness_preceding_365d_min,data_completeness_preceding_365d_max,humidity_mean_preceding_7d_percent_mean,humidity_mean_preceding_7d_percent_median,humidity_mean_preceding_7d_percent_min,humidity_mean_preceding_7d_percent_max,soil_moisture_mean_preceding_7d_m3m3_mean,soil_moisture_mean_preceding_7d_m3m3_median,soil_moisture_mean_preceding_7d_m3m3_min,soil_moisture_mean_preceding_7d_m3m3_max
E2004,2004,NASA POWER,8.817272727272728,0.5,0.0,34.45,19.992207792207793,20.33571428571429,12.678571428571429,27.611428571428576,29.720909090909092,30.56,21.95,35.3,1.0,1.0,1.0,1.0,35.93909090909091,35.63,1.24,97.38,22.491666666666667,22.494000000000003,16.055999999999997,28.699333333333335,33.731818181818184,35.31,28.0,37.66,1.0,1.0,1.0,1.0,221.78545454545457,188.38,82.10000000000001,408.02,26.74172727272727,27.05622222222222,22.09677777777778,30.284999999999997,39.304545454545455,39.66,36.53,42.75,1.0,1.0,1.0,1.0,430.86,449.11,317.71,593.62,29.37572727272727,29.49838888888889,27.2165,31.271611111111106,46.14727272727273,46.7,44.48,47.26,1.0,1.0,1.0,1.0,713.0272727272727,795.6,443.98999999999995,901.5500000000001,23.2114097135741,23.009972602739726,22.399890410958903,24.319123287671232,46.14727272727273,46.7,44.48,47.26,1.0,1.0,1.0,1.0,40.08714285714286,42.221428571428575,24.509999999999998,49.78571428571429,,,,
E2004,2004,Open-Meteo ERA5-Seamless,19.422727272727272,0.39999999999999997,0.0,133.75,17.44188311688312,17.7,10.035714285714286,25.824999999999996,25.92954545454546,26.075,18.55,33.325,1.0,1.0,1.0,1.0,66.07272727272728,44.800000000000004,10.750000000000002,215.60000000000002,19.77507575757576,20.257499999999997,13.384166666666665,26.59,29.704545454545453,30.625,23.55,35.0,1.0,1.0,1.0,1.0,270.80454545454546,261.7,122.3,436.75,24.006540404040404,24.348055555555554,19.74833333333334,27.34,35.570454545454545,35.0,33.325,37.775,1.0,1.0,1.0,1.0,475.16818181818184,449.9,415.95000000000005,599.0,26.105934343434342,26.39027777777778,24.29,27.33694444444444,41.550000000000004,41.975,39.6,42.925,1.0,1.0,1.0,1.0,1007.45,1037.4,863.05,1139.1,20.23379202988792,20.152602739726028,19.679657534246573,20.866575342465755,41.55227272727273,41.975,39.625,42.925,1.0,1.0,1.0,1.0,62.246753246753244,60.5,52.714285714285715,73.96428571428571,0.2474025974025974,0.25042857142857144,0.1779642857142857,0.3620357142857143
E2009,2009,NASA POWER,4.151,0.64,0.0,18.799999999999997,20.515571428571427,20.73857142857143,15.025714285714287,26.84142857142857,30.021000000000004,29.885,26.11,35.13,1.0,1.0,1.0,1.0,20.073,20.075000000000003,9.25,39.10000000000001,22.709633333333336,24.051499999999997,15.990333333333336,27.976666666666667,33.503,33.575,27.47,37.93,1.0,1.0,1.0,1.0,230.704,219.71000000000004,79.77999999999999,497.38,25.864755555555558,26.399944444444444,21.479333333333333,29.804444444444446,37.488,36.02,33.71,43.15,1.0,1.0,1.0,1.0,598.1139999999999,660.8,357.78999999999996,741.31,28.500338888888887,29.026472222222218,25.396944444444443,30.265222222222228,44.762,46.5,40.43,46.95,1.0,1.0,1.0,1.0,884.318,921.9099999999999,689.49,1014.0999999999999,22.91020821917808,23.259465753424656,22.258821917808216,23.335534246575346,44.947,46.5,42.28,46.95,1.0,1.0,1.0,1.0,39.79642857142857,40.0607142857143,16.09142857142857,55.10428571428571,,,,
E2009,2009,Open-Meteo ERA5-Seamless,5.59,0.27499999999999997,0.0,23.55,18.569285714285716,18.933928571428574,12.721428571428572,24.935714285714283,27.317500000000003,27.025,22.1,34.1,1.0,1.0,1.0,1.0,17.259999999999998,18.4,0.55,31.900000000000002,21.001916666666666,22.312916666666666,13.702499999999997,26.618333333333336,31.115000000000002,31.3,23.725,36.975,1.0,1.0,1.0,1.0,194.6,170.125,53.0,497.1,24.237138888888886,25.092916666666664,19.697222222222223,27.634444444444437,35.160000000000004,34.4,31.65,38.875,1.0,1.0,1.0,1.0,493.43999999999994,575.375,284.1,599.8500000000001,26.348222222222223,26.865208333333335,23.486527777777777,27.674305555555556,40.9375,42.6,36.1,42.725,1.0,1.0,1.0,1.0,867.49,894.9750000000001,769.75,939.2,20.83812328767123,20.929315068493153,20.30232876712329,21.46054794520548,41.2375,42.6,39.1,42.725,1.0,1.0,1.0,1.0,55.646428571428565,56.51785714285714,37.75,71.14285714285714,0.1893,0.1766964285714286,0.1370357142857143,0.27382142857142855
E2014,2014,NASA POWER,5.626250000000001,0.0,0.0,33.34,19.311964285714286,16.70285714285714,15.53,25.308571428571423,28.10375,25.990000000000002,24.75,33.84,1.0,1.0,1.0,1.0,43.24625,25.474999999999998,6.84,115.28,20.592875,18.626666666666665,16.30633333333333,27.02066666666667,30.7725,30.555,26.13,36.76,1.0,1.0,1.0,1.0,273.16125,237.685,95.82,490.59,24.706083333333336,23.60161111111111,21.331222222222223,28.85877777777778,35.7925,36.165,32.56,40.23,1.0,1.0,1.0,1.0,670.10875,671.7850000000001,637.59,704.5699999999999,27.967847222222222,27.91847222222222,26.383333333333333,29.238777777777777,45.35,45.56,44.38,46.18,1.0,1.0,1.0,1.0,1012.5587499999999,1038.345,891.0799999999999,1103.7399999999998,22.256873287671233,22.31646575342466,22.075698630136987,22.43304109589041,45.35,45.56,44.38,46.18,1.0,1.0,1.0,1.0,45.903392857142855,44.503571428571426,34.472857142857144,62.72142857142857,,,,
E2014,2014,Open-Meteo ERA5-Seamless,5.925,0.0,0.0,43.35,17.1375,13.95,13.317857142857141,24.732142857142858,25.021875,21.975,21.625,31.725,1.0,1.0,1.0,1.0,45.175000000000004,27.15,8.75,117.85000000000001,18.7621875,16.748333333333335,13.925,25.854999999999997,27.91875,27.6875,22.975,33.7,1.0,1.0,1.0,1.0,264.76875,250.05,73.19999999999999,479.74999999999994,23.01284722222222,22.285833333333333,19.375,26.50222222222222,33.228125,33.45,31.225,34.5,1.0,1.0,1.0,1.0,667.76875,660.3,628.5,719.05,25.634184027777778,25.84388888888889,24.30902777777778,27.379722222222224,40.321875,40.325,39.175,41.724999999999994,1.0,1.0,1.0,1.0,1151.4375,1135.175,1123.0,1260.6999999999998,20.05201198630137,19.89462328767123,19.799999999999997,20.39890410958904,40.418749999999996,40.325,39.175,41.724999999999994,1.0,1.0,1.0,1.0,64.23214285714286,62.69642857142857,60.392857142857146,71.82142857142857,0.23695089285714285,0.22500000000000003,0.17342857142857143,0.3411785714285714
E2019,2019,NASA POWER,13.470000000000002,3.915,0.0,71.93,18.989464285714284,19.05142857142857,12.932857142857141,24.58428571428571,27.919999999999998,28.72,22.84,32.01,1.0,1.0,1.0,1.0,42.59375,45.480000000000004,2.19,80.46000000000001,21.034499999999998,21.035333333333327,15.788000000000002,26.496666666666666,31.076249999999998,32.05,27.14,34.44,1.0,1.0,1.0,1.0,386.22375,341.3,102.51,724.63,25.07479166666667,25.458333333333336,21.76888888888889,28.068888888888896,36.185,36.540000000000006,33.95,37.78,1.0,1.0,1.0,1.0,1235.77125,693.3249999999999,625.0,2437.35,27.388756944444445,26.885833333333338,25.88633333333333,29.27838888888889,42.67375,45.49,37.96,45.51,1.0,1.0,1.0,1.0,1975.885,1030.095,888.93,3703.7299999999996,21.818979452054794,21.938301369863012,20.46742465753425,23.125068493150685,42.67375,45.49,37.96,45.51,1.0,1.0,1.0,1.0,53.782678571428576,51.450714285714284,43.13857142857143,66.05571428571429,,,,
E2019,2019,Open-Meteo ERA5-Seamless,8.96875,1.85,0.0,41.65,17.418303571428574,17.116071428571427,11.046428571428569,23.882142857142856,25.63125,24.825,19.175,30.7,1.0,1.0,1.0,1.0,44.93125,44.925,0.6000000000000001,68.75,19.54010416666667,19.329583333333336,14.353333333333332,25.311666666666667,29.309375,30.1875,22.95,32.65,1.0,1.0,1.0,1.0,313.66875,294.075,123.75,559.3,23.875729166666666,24.251111111111108,20.14638888888889,27.245277777777776,35.53125,35.5625,32.65,37.324999999999996,1.0,1.0,1.0,1.0,614.73125,610.75,470.8,745.6,25.949739583333333,26.176041666666666,24.619861111111113,27.18041666666667,40.446875,41.125,39.2,41.3,1.0,1.0,1.0,1.0,1038.9312499999999,928.2,864.4499999999999,1268.85,20.258390410958903,20.139760273972605,19.626438356164385,21.040890410958905,40.446875,41.125,39.2,41.3,1.0,1.0,1.0,1.0,60.94642857142857,63.57142857142857,46.785714285714285,71.14285714285714,0.23996875,0.23355357142857142,0.14324999999999996,0.33485714285714285
E2024,2024,NASA POWER,11.062777777777779,2.81,0.0,58.67000000000001,20.15190476190476,20.649285714285718,12.807142857142855,25.784285714285712,27.579444444444444,27.72,21.13,32.37,1.0,1.0,1.0,1.0,65.06722222222223,63.005,3.93,143.79000000000002,22.154185185185185,22.570333333333334,15.301666666666668,26.996333333333332,30.761111111111113,31.37,24.96,34.2,1.0,1.0,1.0,1.0,564.8761111111112,538.455,130.67,1289.3400000000001,25.518302469135804,26.22644444444444,19.730111111111114,28.773444444444447,34.72888888888889,34.47,31.37,39.17,1.0,1.0,1.0,1.0,1220.36,1174.465,971.0899999999999,1552.75,27.653077160493826,27.591083333333334,24.56977777777778,29.23783333333333,44.45611111111111,44.425,42.79,46.2,1.0,1.0,1.0,1.0,1543.5255555555555,1470.5900000000001,1384.4499999999998,1916.0300000000002,21.917024353120244,21.85193150684932,21.32268493150685,22.61032876712329,44.45611111111111,44.425,42.79,46.2,1.0,1.0,1.0,1.0,61.13468253968253,60.97428571428571,49.50428571428571,74.20428571428572,,,,
E2024,2024,Open-Meteo ERA5-Seamless,9.26388888888889,1.4000000000000001,0.0,59.199999999999996,19.041666666666668,19.47142857142857,11.060714285714285,24.928571428571434,27.344444444444445,27.6375,19.1,33.925,1.0,1.0,1.0,1.0,42.46944444444444,42.875,6.5,78.35,21.466851851851853,21.984583333333337,13.474166666666667,27.430833333333336,31.511111111111113,33.925,23.225,36.7,1.0,1.0,1.0,1.0,221.1916666666667,211.0,100.05,398.5,25.077993827160494,25.749166666666664,18.762222222222217,28.24861111111111,36.237500000000004,36.962500000000006,33.925,37.575,1.0,1.0,1.0,1.0,519.3833333333333,497.125,377.84999999999997,684.05,26.588487654320986,26.70784722222222,24.01708333333334,27.772222222222222,41.481944444444444,40.787499999999994,40.55,43.525,1.0,1.0,1.0,1.0,852.9194444444444,851.15,762.5,948.3,20.643740487062402,20.496849315068495,20.315205479452054,21.19746575342466,41.481944444444444,40.787499999999994,40.55,43.525,1.0,1.0,1.0,1.0,61.333333333333336,63.32142857142857,45.25,71.89285714285714,0.2282559523809524,0.21767857142857144,0.148,0.31575
