epoch_id,label_year,item_id,platform,acquisition_datetime_utc,acquisition_date,weather_provider,precipitation_preceding_7d_mm,temperature_mean_preceding_7d_c,tmax_max_preceding_7d_c,data_completeness_preceding_7d,precipitation_preceding_30d_mm,temperature_mean_preceding_30d_c,tmax_max_preceding_30d_c,data_completeness_preceding_30d,precipitation_preceding_90d_mm,temperature_mean_preceding_90d_c,tmax_max_preceding_90d_c,data_completeness_preceding_90d,precipitation_preceding_180d_mm,temperature_mean_preceding_180d_c,tmax_max_preceding_180d_c,data_completeness_preceding_180d,precipitation_preceding_365d_mm,temperature_mean_preceding_365d_c,tmax_max_preceding_365d_c,data_completeness_preceding_365d,humidity_mean_preceding_7d_percent,soil_moisture_mean_preceding_7d_m3m3
E2004,2004,LE07_L2SP_150037_20051002_02_T1,landsat-7,2005-10-02T05:31:26.748326Z,2005-10-02,Open-Meteo ERA5-Seamless,0.39999999999999997,25.824999999999996,33.325,1.0,54.1,26.59,35.0,1.0,305.35,27.34,36.3,1.0,438.0,26.38736111111111,42.925,1.0,1139.1,19.679657534246573,42.925,1.0,52.714285714285715,0.18510714285714286
E2004,2004,LE07_L2SP_150037_20051002_02_T1,landsat-7,2005-10-02T05:31:26.748326Z,2005-10-02,NASA POWER,0.02,27.611428571428576,35.3,1.0,52.28000000000001,28.699333333333335,37.44,1.0,367.94000000000005,30.284999999999997,42.15,1.0,452.48,29.465666666666664,47.26,1.0,883.75,22.448630136986303,47.26,1.0,40.787142857142854,
E2004,2004,LE07_L2SP_150037_20051018_02_T1,landsat-7,2005-10-18T05:31:32.605284Z,2005-10-18,Open-Meteo ERA5-Seamless,38.35,20.567857142857147,30.45,1.0,48.35,24.379999999999995,33.325,1.0,244.85,26.57805555555556,35.0,1.0,465.90000000000003,26.781527777777782,42.925,1.0,1045.8,19.818424657534248,42.925,1.0,60.5,0.25042857142857144
E2004,2004,LE07_L2SP_150037_20051018_02_T1,landsat-7,2005-10-18T05:31:32.605284Z,2005-10-18,NASA POWER,28.290000000000003,23.221428571428568,33.06,1.0,54.5,26.427666666666667,36.53,1.0,288.47,29.125111111111114,39.67,1.0,485.96000000000004,29.831,47.26,1.0,901.5500000000001,22.50695890410959,47.26,1.0,46.27714285714285,
E2004,2004,LE07_L2SP_150037_20051103_02_T1,landsat-7,2005-11-03T05:31:45.011742Z,2005-11-03,Open-Meteo ERA5-Seamless,0.0,17.7,26.075,1.0,44.800000000000004,20.351666666666667,33.1,1.0,203.45,24.726111111111116,35.0,1.0,415.95000000000005,26.469305555555554,42.925,1.0,1037.4,19.88602739726027,42.925,1.0,53.357142857142854,0.1971785714285714
E2004,2004,LE07_L2SP_150037_20051103_02_T1,landsat-7,2005-11-03T05:31:45.011742Z,2005-11-03,NASA POWER,0.0,20.33571428571429,30.61,1.0,35.63,22.601999999999997,35.54,1.0,250.67000000000002,27.05622222222222,38.15,1.0,458.5,29.500722222222223,47.26,1.0,862.46,22.539287671232877,47.26,1.0,30.45142857142857,
E2004,2004,LE07_L2SP_150037_20051119_02_T1,landsat-7,2005-11-19T05:31:53.807037Z,2005-11-19,Open-Meteo ERA5-Seamless,0.0,13.714285714285714,22.25,1.0,17.8,16.575833333333335,26.625,1.0,143.25,22.552777777777777,35.0,1.0,424.54999999999995,25.63736111111111,42.925,1.0,1052.85,19.86595890410959,42.925,1.0,56.464285714285715,0.2618214285714286
E2004,2004,LE07_L2SP_150037_20051119_02_T1,landsat-7,2005-11-19T05:31:53.807037Z,2005-11-19,NASA POWER,0.09,16.68857142857143,27.11,1.0,1.24,18.968999999999998,30.76,1.0,131.39,24.766666666666666,37.44,1.0,449.11,28.627444444444446,47.26,1.0,863.62,22.490657534246576,47.26,1.0,24.509999999999998,
E2004,2004,LE07_L2SP_150037_20051205_02_T1,landsat-7,2005-12-05T05:31:58.760448Z,2005-12-05,Open-Meteo ERA5-Seamless,0.0,10.035714285714286,18.55,1.0,20.75,13.384166666666665,24.375,1.0,122.3,19.74833333333334,33.325,1.0,421.65000000000003,24.29,42.925,1.0,1032.0,19.779383561643836,42.925,1.0,58.25,0.2129285714285714
E2004,2004,LE07_L2SP_150037_20051205_02_T1,landsat-7,2005-12-05T05:31:58.760448Z,2005-12-05,NASA POWER,0.5,12.678571428571429,21.95,1.0,6.39,16.055999999999997,28.0,1.0,93.74000000000001,22.09677777777778,36.53,1.0,445.11,27.2165,47.26,1.0,858.49,22.399890410958903,47.26,1.0,33.63428571428572,
