weather_cell_id,rows,start_date,end_date,duplicate_dates,missing_dates,total_missing_values,negative_precipitation,temperature_outside_minus70_plus70,humidity_outside_0_100,status
OM_01,12784,1991-01-01,2025-12-31,0,0,0,0,0,0,PASS
OM_02,12784,1991-01-01,2025-12-31,0,0,0,0,0,0,PASS
OM_03,12784,1991-01-01,2025-12-31,0,0,0,0,0,0,PASS
OM_04,12784,1991-01-01,2025-12-31,0,0,0,0,0,0,PASS
