component_id,component_name,radius_m,metric,theil_sen_slope_per_year,slope_low_95,slope_high_95,spearman_rho_year,n_epochs,interpretation
139-009,Giri complex of monuments,250,landscape_pressure_score,0.005294117647058821,-0.0070588235294117615,0.026470588235294114,0.6,5,descriptive_five_epoch_trajectory
139-009,Giri complex of monuments,250,integrated_exposure_score,0.0010657225853304322,-0.013710965867828596,0.014527959331880901,0.3,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,250,ndvi_median,0.006852144747972489,-0.005694073438644409,0.01201762557029724,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,250,mndwi_median,-0.00026636123657226564,-0.003616142272949219,0.0032022416591644285,-0.3,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,250,ndbi_median,-0.0046921472530812025,-0.007866058312356473,0.0007505625486373902,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,250,landscape_pressure_score,-0.006911764705882357,-0.025882352941176467,0.009411764705882364,-0.7,5,descriptive_five_epoch_trajectory
139-010,Kunala stupa and monastery,250,integrated_exposure_score,-0.0047676107480029125,-0.012269426289034135,0.012567175018155418,-0.39999999999999997,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,250,ndvi_median,0.0033210724592208866,-0.0009723722934722901,0.007197946310043335,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,250,mndwi_median,0.0013795912265777588,-0.0017938494682312011,0.0047235310077667235,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,250,ndbi_median,-0.002941323007689789,-0.005343037331476808,-0.0003802552819252014,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,250,landscape_pressure_score,-0.015882352941176476,-0.04117647058823528,-0.008235294117647052,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-011,Jandial complex,250,integrated_exposure_score,-0.007637073347857664,-0.017367465504720393,0.008253449527959322,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,250,ndvi_median,0.004361703991889954,-0.0011407971382141114,0.009391164779663086,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,250,mndwi_median,-5.173608660697937e-05,-0.00521012544631958,0.004006093740463257,-0.09999999999999999,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,250,ndbi_median,-0.003480025380849838,-0.005168494582176208,-0.0028125137090682984,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,250,landscape_pressure_score,-0.0055882352941176465,-0.03764705882352941,0.038823529411764715,-0.39999999999999997,5,descriptive_five_epoch_trajectory
139-012,Lalchak and Badalpur Buddhist stuppa,250,integrated_exposure_score,-0.0023257080610021826,-0.023907044299201163,0.02707697893972405,-0.3,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,250,ndvi_median,0.0026686534285545347,-0.00098646879196167,0.028483742475509645,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,250,mndwi_median,-0.0006049357354640961,-0.006159281730651856,0.003351783752441406,-0.3,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,250,ndbi_median,-0.0038823696784675123,-0.01635574996471405,0.0015065737068653106,-0.7,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,250,landscape_pressure_score,-0.007941176470588236,-0.038823529411764715,0.01941176470588236,-0.6,5,descriptive_five_epoch_trajectory
139-013,Mohra Moradu stupa and monastery,250,integrated_exposure_score,-0.002953885257806828,-0.024299201161946272,0.016292665214233847,-0.6,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,250,ndvi_median,0.0006218701601028442,-0.0021579861640930176,0.005666500329971314,0.3,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,250,mndwi_median,0.0010854065418243407,-0.0029389381408691405,0.002780282497406006,0.7,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,250,ndbi_median,-0.0006357476115226746,-0.004269308596849442,0.0033281110227108,-0.6,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,250,landscape_pressure_score,-0.008088235294117646,-0.031176470588235295,0.011176470588235298,-0.7999999999999999,5,descriptive_five_epoch_trajectory
139-014,Pippala stupa and monastery,250,integrated_exposure_score,-0.001924473493100945,-0.021750181554103132,0.017861292665214235,-0.7999999999999999,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,250,ndvi_median,0.011803455650806427,0.00031921863555908205,0.02518552541732788,0.9999999999999999,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,250,mndwi_median,-0.0007572909196217855,-0.002079904079437256,-8.338093757629395e-05,-0.9999999999999999,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,250,ndbi_median,-0.009268482495099307,-0.019193224236369134,0.0001952189952135086,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,250,landscape_pressure_score,-0.014950980392156862,-0.04647058823529411,0.002941176470588225,-0.7999999999999999,5,descriptive_five_epoch_trajectory
139-015,Jaulian stupa and monastery,250,integrated_exposure_score,-0.00419662309368192,-0.026848220769789388,0.015116194625998535,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,250,ndvi_median,0.00360529621442159,-0.009682929515838623,0.030987256765365602,0.49999999999999994,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,250,mndwi_median,-0.0007339730858802796,-0.004358905553817749,0.0030868887901306153,-0.3,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,250,ndbi_median,-0.0018540497248371443,-0.019554632902145385,0.009996525943279266,-0.6,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,250,landscape_pressure_score,-0.003676470588235295,-0.030000000000000006,0.05411764705882353,0.0,5,descriptive_five_epoch_trajectory
139-016,Lalchak mounds,250,integrated_exposure_score,-0.0019072258533042868,-0.021358024691358012,0.03217501815541031,0.0,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,250,ndvi_median,0.003644934296607971,-0.001998603343963623,0.008714783191680908,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,250,mndwi_median,-0.00046166032552719116,-0.002597630023956299,0.0018262743949890136,-0.49999999999999994,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,250,ndbi_median,-0.0024188026785850526,-0.005193062499165535,0.001817212998867035,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,250,landscape_pressure_score,-0.006960784313725497,-0.027647058823529424,0.01470588235294117,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-017,Buddhist remains around Bhallar stupa,250,integrated_exposure_score,-0.0023992374727668892,-0.020573710965867808,0.019037763253449524,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-018,Giri Mosque and tombs,250,ndvi_median,0.003557915985584259,-0.00716407299041748,0.01988558769226074,0.39999999999999997,5,descriptive_five_epoch_trajectory
139-018,Giri Mosque and tombs,250,mndwi_median,-0.0014096371829509734,-0.004938679933547974,0.0014426231384277344,-0.7,5,descriptive_five_epoch_trajectory
139-018,Giri Mosque and tombs,250,ndbi_median,-0.0007283426821231842,-0.015128302574157714,0.005470371246337891,-0.3,5,descriptive_five_epoch_trajectory
139-018,Giri Mosque and tombs,250,landscape_pressure_score,0.0023529411764705867,-0.01588235294117648,0.015294117647058824,0.3,5,descriptive_five_epoch_trajectory
139-018,Giri Mosque and tombs,250,integrated_exposure_score,0.0005092592592592658,-0.013122730573710962,0.008841684822076989,0.19999999999999998,5,descriptive_five_epoch_trajectory
139-001,Khanpur Cave,500,ndvi_median,0.0029338330030441286,-0.004294174909591675,0.012832283973693848,0.7,5,descriptive_five_epoch_trajectory
