component_id,component_name,radius_m,epoch_id,label_year,valid_cells,ndvi_median,ndvi_p10,ndvi_p90,ndbi_median,ndbi_p10,ndbi_p90,mndwi_median,mndwi_p10,mndwi_p90,bsi_median,bsi_p10,bsi_p90,classified_cells,lc_class_1_share,lc_class_2_share,lc_class_3_share,lc_class_4_share,lc_class_5_share,lc_class_6_share,ndvi_pressure,ndbi_pressure,mndwi_pressure,surface_cover_pressure,landscape_pressure_score,terrain_susceptibility_score,slope_pressure,wetness_pressure,drainage_proximity_pressure,local_priority_score,fixed_rank
139-001,Khanpur Cave,250,E2004,2004,220,0.4086701273918152,0.2150332033634185,0.5035776495933533,-0.0285439901053905,-0.1629964262247085,0.1217917799949646,-0.4361443519592285,-0.4551163017749786,-0.3531921803951263,0.0460678413510322,-0.075665958225727,0.1755158454179763,220,0.0636363636363636,0.1454545454545454,0.2681818181818182,0.1227272727272727,0.4,0.0,0.5588235294117647,0.711764705882353,0.7705882352941177,0.6352941176470588,0.7029411764705882,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.5720588235294117,
139-001,Khanpur Cave,250,E2009,2009,220,0.3789126276969909,0.2301509827375412,0.488587349653244,-0.019633824005723,-0.1592998653650283,0.1065035238862037,-0.4336964190006256,-0.4587042331695556,-0.3361749649047851,0.0574410855770111,-0.0693821683526039,0.1635311990976333,220,0.0863636363636363,0.1318181818181818,0.3045454545454545,0.059090909090909,0.4181818181818181,0.0,0.7823529411764706,0.7941176470588235,0.7235294117647059,0.788235294117647,0.7558823529411764,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.5985294117647059,
139-001,Khanpur Cave,250,E2014,2014,220,0.4044982194900512,0.2320936620235443,0.5508301258087158,-0.0236790832132101,-0.1687135845422744,0.1065032482147216,-0.4280737638473511,-0.4677553176879883,-0.3580250144004822,0.0491994023323059,-0.0811566337943077,0.152662307024002,220,0.0727272727272727,0.15,0.2409090909090909,0.1409090909090909,0.3954545454545454,0.0,0.5823529411764706,0.7470588235294118,0.5941176470588235,0.6647058823529413,0.6294117647058823,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.5352941176470588,
139-001,Khanpur Cave,250,E2019,2019,218,0.4004472196102142,0.1982269138097763,0.6080723404884338,-0.0318949446082115,-0.1917320191860199,0.1295115202665329,-0.4190919995307922,-0.4668565392494201,-0.3509664833545685,0.0478514805436134,-0.1098731830716133,0.1736554652452469,218,0.0642201834862385,0.2339449541284403,0.2018348623853211,0.1697247706422018,0.3302752293577982,0.0,0.6058823529411764,0.6882352941176471,0.40588235294117647,0.6470588235294117,0.526470588235294,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.48382352941176465,
139-001,Khanpur Cave,250,E2024,2024,220,0.4657241106033325,0.2016037255525589,0.6332364678382874,-0.0788046866655349,-0.2316913604736328,0.11235012114048,-0.4180798530578613,-0.4788254797458648,-0.3676525950431824,0.0020495504140853,-0.1428064405918121,0.1687020063400268,220,0.109090909090909,0.1681818181818181,0.2,0.3272727272727272,0.1954545454545454,0.0,0.3235294117647059,0.34705882352941175,0.38235294117647056,0.33529411764705885,0.3588235294117647,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.4,15.0
139-003,Bhir Mound,250,E2004,2004,218,0.3761088252067566,0.2470018118619918,0.4463525414466858,0.0014321792405098,-0.0698060989379882,0.0648094043135643,-0.4252602756023407,-0.4705470502376556,-0.3712823390960693,0.0708241015672683,0.0046736728399991,0.1313260793685913,218,0.1605504587155963,0.0504587155963302,0.4495412844036697,0.0091743119266055,0.3302752293577982,0.0,0.8176470588235294,0.9,0.5352941176470588,0.8588235294117648,0.6970588235294117,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.4808823529411764,
139-003,Bhir Mound,250,E2009,2009,218,0.359279990196228,0.2388948202133178,0.4304760694503784,0.0009965321514755,-0.0654516294598579,0.0544688925147056,-0.425512433052063,-0.4651628732681274,-0.3518745601177215,0.0722298547625541,0.013712354004383,0.1267727464437484,218,0.2431192660550458,0.0458715596330275,0.3440366972477064,0.0091743119266055,0.3577981651376147,0.0,0.8764705882352941,0.8764705882352941,0.5470588235294118,0.8764705882352941,0.711764705882353,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.4882352941176471,
139-003,Bhir Mound,250,E2014,2014,202,0.4592898488044739,0.2489694058895111,0.5545228719711304,-0.0493959113955497,-0.120208740234375,0.0393053963780403,-0.4424796104431152,-0.4986287355422973,-0.3410195708274841,0.0176668241620063,-0.0466393455862998,0.109098270535469,202,0.1881188118811881,0.0148514851485148,0.2326732673267326,0.094059405940594,0.4702970297029702,0.0,0.3352941176470588,0.5117647058823529,0.8294117647058824,0.4235294117647058,0.6264705882352941,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.4455882352941176,
139-003,Bhir Mound,250,E2019,2019,152,0.4520912766456604,0.3756144046783447,0.5210358500480652,-0.0452494695782661,-0.1116033121943473,0.0029797118622809,-0.453946053981781,-0.4747748076915741,-0.3916126191616058,0.0251059755682945,-0.03273381665349,0.0671528130769729,152,0.0657894736842105,0.0,0.2960526315789473,0.0986842105263157,0.5394736842105263,0.0,0.38235294117647056,0.5705882352941176,0.888235294117647,0.4764705882352941,0.6823529411764706,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.47352941176470587,
139-003,Bhir Mound,250,E2024,2024,205,0.4699966013431549,0.2996633350849151,0.5615787506103516,-0.0615977570414543,-0.1440846621990203,0.0134056219831109,-0.4357256591320038,-0.4679192304611206,-0.332951933145523,0.0128582417964935,-0.0656858533620834,0.0811332985758781,205,0.2390243902439024,0.0,0.2,0.2048780487804878,0.3560975609756097,0.0,0.28823529411764703,0.4294117647058823,0.7588235294117647,0.35882352941176465,0.5588235294117647,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.4117647058823529,14.0
