period,metric,n,effective_n_lag1,theil_sen_slope_per_year,theil_sen_intercept,scipy_slope_ci_low_95,scipy_slope_ci_high_95,moving_block_slope_ci_low_95,moving_block_slope_ci_high_95,kendall_tau,kendall_p_unadjusted,moving_block_p_two_sided,bootstrap_draws,block_length_years,status,fdr_adjusted_block_p
annual,precipitation_sum_mm,35,17.733210169098335,-10.303703703703691,21598.03703703702,-17.93666666666667,-2.5642857142856883,-17.914978439153344,-2.667899999999967,-0.3008403361344537,0.0110202409217485,0.0089955022488755,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0359820089955022
annual,rx1day_mm,35,20.094812095860195,-0.623333333333333,1321.1533333333325,-1.843181818181818,0.2555555555555556,-1.5425814393939403,0.4033541666666666,-0.1563025210084033,0.1865903464088403,0.1549225387306347,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2711144427786107
annual,rx5day_mm,35,13.930731723685392,-1.7354166666666668,3617.8666666666672,-3.3769230769230774,-0.3269230769230769,-3.3891284722222235,-0.2018518518518463,-0.2840336134453781,0.0163931900672441,0.0394802598700649,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.1105447276361819
annual,heavy_precipitation_days,35,20.967171350308572,-0.1428571428571428,291.85714285714283,-0.2413793103448276,-0.0588235294117647,-0.2266177787729525,-0.0582010582010576,-0.4015875417816433,0.001115529005004,0.0014992503748125,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0139930034982508
annual,consecutive_dry_days,35,62.05589144095539,0.1666666666666666,-299.66666666666663,-0.3157894736842105,0.6666666666666666,-0.1416964285714304,0.4321658615136879,0.0899876912048131,0.4510354207034583,0.2028985507246377,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.3188931849864541
annual,temperature_mean_c,35,13.444130718985187,0.0417534246575341,-63.39553424657518,0.0103424657534246,0.066472602739726,0.0099294483120004,0.0731331848959419,0.307563025210084,0.0093533348845003,0.0064967516241879,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0349825087456271
annual,annual_or_period_max_tmax_c,35,41.79364289232941,0.0333333333333332,-25.683333333333223,-0.021153846153846,0.09375,-0.0078724747474754,0.0777864583333331,0.1365943687868142,0.2497907809122619,0.120439780109945,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2594087571598816
annual,hot_days,35,23.168021930907635,0.1818181818181818,-348.0909090909091,-0.1818181818181818,0.4814814814814814,-0.1727797202797167,0.5227272727272663,0.144568067828115,0.2266657120533193,0.3063468265867066,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.4084624354489422
annual,heatwave_max_days,35,53.419310581877504,0.032258064516129,-56.77419354838709,-0.0869565217391304,0.1764705882352941,-0.0448877980364662,0.1143718664270179,0.0784497321752506,0.5201890442196464,0.3493253373313343,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.4325663255328857
annual,relative_humidity_mean_percent,35,13.248991323865766,-0.1311463590483052,326.2727108868052,-0.2440950802058983,0.0082191780821915,-0.2851618321193846,0.0255484288140052,-0.2134453781512605,0.071296880302187,0.1124437781109445,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2594087571598816
annual,soil_moisture_mean_m3m3,35,17.13791955288585,-0.0012777133825079,2.833477924130664,-0.0019842167957117,-0.0005175799086757,-0.0022269643280435,-0.0003334883929641,-0.3478991596638655,0.0032853394798949,0.0064967516241879,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0349825087456271
annual,et0_sum_mm,35,14.460236268586964,2.285000000000044,-3176.1475000000887,-1.0806249999999975,5.027750000000014,-1.2405287047511238,5.594104048295499,0.1630252100840336,0.1683456938502612,0.216391804097951,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.3188931849864541
DJF,precipitation_sum_mm,34,39.816354018083565,-2.5913043478260867,5387.909782608695,-5.605000000000004,0.7181818181818187,-5.724235104669862,0.2143885869565156,-0.1836007130124777,0.1267814870166076,0.0819590204897551,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2086229612466494
DJF,temperature_mean_c,34,25.00695093273553,0.0333660130718954,-56.78549836601304,0.0071153846153846,0.0649764346764345,0.010044371984905,0.0584216203238543,0.2869875222816399,0.0169987220301307,0.0074962518740629,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0349825087456271
DJF,rx1day_mm,34,33.567451704108,-0.3133333333333333,666.2549999999999,-0.9233333333333336,0.24,-0.805000000000005,0.1852406759906831,-0.125112156508401,0.2992452510165815,0.2058970514742628,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.3188931849864541
DJF,consecutive_dry_days,34,36.64102028522346,0.0666666666666666,-110.9,-0.2916666666666667,0.4545454545454545,-0.1800161290322591,0.3083522727272711,0.0468069747588973,0.6995480744417047,0.4417791104447776,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.4947926036981509
MAM,precipitation_sum_mm,35,14.048331893754105,-3.743181818181814,7740.259090909082,-8.027083333333339,0.9099999999999796,-8.831998604465722,1.246509740259732,-0.1831932773109243,0.1216328679332113,0.1464267866066966,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2711144427786107
MAM,temperature_mean_c,35,21.97379776631388,0.0462657784011221,-71.94543302945327,-0.0095561594202899,0.1034161490683226,-0.013990978834017,0.1095041342078785,0.2134453781512605,0.071296880302187,0.1469265367316342,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.2711144427786107
MAM,rx1day_mm,35,34.540650498132784,-0.7421052631578948,1532.5973684210528,-1.125,-0.1583333333333335,-1.036636650219299,-0.4564802631578792,-0.2941176470588235,0.0129460261274815,0.0004997501249375,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0069965017491254
MAM,consecutive_dry_days,35,33.27780792454062,0.0,15.0,-0.1923076923076923,0.1923076923076923,-0.2105263157894736,0.2307692307692307,0.0103943839301285,0.9317491016633772,1.0,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,1.0
Monsoon,precipitation_sum_mm,35,25.304916962155826,-2.512962962962964,5430.929629629632,-7.552777777777783,1.936666666666664,-7.132048611111079,2.0571207264956923,-0.146218487394958,0.2166353312001357,0.27936031984008,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.391104447776112
Monsoon,temperature_mean_c,35,57.00468552509152,0.0483333333333327,-69.71202898550601,0.0301177536231881,0.0653241459627329,0.0345014860733718,0.0640372886473422,0.5092436974789916,1.684750517899537e-05,0.0004997501249375,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0069965017491254
Monsoon,rx1day_mm,35,18.63156993725513,-0.402272727272727,859.4136363636358,-1.8464285714285715,0.6750000000000002,-1.7418863636363608,0.9623588191699628,-0.104289355639965,0.3785464928054352,0.425287356321839,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.4947926036981509
Monsoon,consecutive_dry_days,35,46.746631677894406,-0.0294117647058823,69.05882352941177,-0.1333333333333333,0.0666666666666666,-0.1094785327924272,0.0553649853606598,-0.0932432649142151,0.447679418861731,0.3553223388305847,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.4325663255328857
Post-monsoon,precipitation_sum_mm,35,53.60364255477845,-0.277272727272727,612.4136363636358,-1.9142857142857144,1.2454545454545456,-1.430774286987522,0.8196256684491944,-0.0521008403361344,0.6597601099821482,0.4787606196901549,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.5027116071593832
Post-monsoon,temperature_mean_c,35,20.878496240207685,0.0417498218104063,-65.80659301496814,0.0083606557377052,0.0816939890710379,0.0056954220123527,0.0795922163611225,0.2672268907563025,0.0239439327880434,0.0284857571214392,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0886223554889222
Post-monsoon,rx1day_mm,35,51.95009534570733,-0.105,229.89000000000016,-0.7645833333333334,0.3928571428571428,-0.5956568627450974,0.3189999999999998,-0.0571909369638518,0.6291685967356248,0.4847576211894053,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.5027116071593832
Post-monsoon,consecutive_dry_days,35,68.6327677596364,-0.2258064516129032,479.4193548387096,-0.6,0.125,-0.4193548387096696,-0.0368519585253446,-0.1334689284074491,0.2667449132751485,0.0239880059970015,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP,0.0839580209895052
