tail_probability_q,share_two_or_more,share_all_three,ndvi_lower_cut,ndbi_upper_cut,mndwi_lower_cut
0.15,0.1389659958362248,0.0038837117081391,-0.046800707,0.019741293,-0.054013506
0.2,0.1906785962129473,0.0087315356399325,-0.01966857,0.0062835603,-0.04304668
0.25,0.2453529295132348,0.0163849509269356,0.00055310875,-0.0046776016,-0.035087407
