component_id,component_name,radius_m,terrain_model,landscape_weight,terrain_weight,score,rank,top3,top5
139-008,Kalawan group of buildings,250,correlation_adjusted,0.25,0.75,0.40141668542888337,14,False,False
139-009,Giri complex of monuments,250,correlation_adjusted,0.25,0.75,0.5068505371016202,8,False,False
139-010,Kunala stupa and monastery,250,correlation_adjusted,0.25,0.75,0.4777139137553781,10,False,False
139-011,Jandial complex,250,correlation_adjusted,0.25,0.75,0.42089655063614106,12,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,correlation_adjusted,0.25,0.75,0.32123122212977856,17,False,False
139-013,Mohra Moradu stupa and monastery,250,correlation_adjusted,0.25,0.75,0.5254629664217999,7,False,False
139-014,Pippala stupa and monastery,250,correlation_adjusted,0.25,0.75,0.5618214223525569,3,True,True
139-015,Jaulian stupa and monastery,250,correlation_adjusted,0.25,0.75,0.6921090639368968,1,True,True
139-016,Lalchak mounds,250,correlation_adjusted,0.25,0.75,0.42817157102113207,11,False,False
139-017,Buddhist remains around Bhallar stupa,250,correlation_adjusted,0.25,0.75,0.5377272627152102,5,False,True
139-018,Giri Mosque and tombs,250,correlation_adjusted,0.25,0.75,0.6667472426228568,2,True,True
139-001,Khanpur Cave,250,correlation_adjusted,0.5,0.5,0.3963990190939053,15,False,False
139-003,Bhir Mound,250,correlation_adjusted,0.5,0.5,0.410218231130524,14,False,False
139-004,Sirkap (fortified city),250,correlation_adjusted,0.5,0.5,0.47481068054305725,9,False,False
139-005,Sirsukh (fortified ruined city),250,correlation_adjusted,0.5,0.5,0.49453644939933034,5,False,True
139-006,Dharmarajika stupa and monastery,250,correlation_adjusted,0.5,0.5,0.5288062599111809,3,True,True
139-007,Khader Mohra (Akhuri),250,correlation_adjusted,0.5,0.5,0.46552255803657805,10,False,False
139-008,Kalawan group of buildings,250,correlation_adjusted,0.5,0.5,0.4489836726388634,12,False,False
139-009,Giri complex of monuments,250,correlation_adjusted,0.5,0.5,0.49672388747951146,4,False,True
139-010,Kunala stupa and monastery,250,correlation_adjusted,0.5,0.5,0.49396613858201677,6,False,False
139-011,Jandial complex,250,correlation_adjusted,0.5,0.5,0.36491142591429016,16,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,correlation_adjusted,0.5,0.5,0.33180120691004844,17,False,False
139-013,Mohra Moradu stupa and monastery,250,correlation_adjusted,0.5,0.5,0.4473674678106117,13,False,False
139-014,Pippala stupa and monastery,250,correlation_adjusted,0.5,0.5,0.48827310509778304,7,False,False
139-015,Jaulian stupa and monastery,250,correlation_adjusted,0.5,0.5,0.5682687877226371,2,True,True
139-016,Lalchak mounds,250,correlation_adjusted,0.5,0.5,0.45309477283761745,11,False,False
139-017,Buddhist remains around Bhallar stupa,250,correlation_adjusted,0.5,0.5,0.478092684947395,8,False,False
139-018,Giri Mosque and tombs,250,correlation_adjusted,0.5,0.5,0.614106004885826,1,True,True
139-001,Khanpur Cave,250,correlation_adjusted,0.75,0.25,0.377611274252835,14,False,False
139-003,Bhir Mound,250,correlation_adjusted,0.75,0.25,0.48452088027114437,8,False,False
139-004,Sirkap (fortified city),250,correlation_adjusted,0.75,0.25,0.5785818108597639,1,True,True
139-005,Sirsukh (fortified ruined city),250,correlation_adjusted,0.75,0.25,0.5105035188173123,3,True,True
139-006,Dharmarajika stupa and monastery,250,correlation_adjusted,0.75,0.25,0.5055796005438258,5,False,True
139-007,Khader Mohra (Akhuri),250,correlation_adjusted,0.75,0.25,0.39599657313593606,13,False,False
139-008,Kalawan group of buildings,250,correlation_adjusted,0.75,0.25,0.4965506598488435,6,False,False
139-009,Giri complex of monuments,250,correlation_adjusted,0.75,0.25,0.4865972378574027,7,False,False
139-010,Kunala stupa and monastery,250,correlation_adjusted,0.75,0.25,0.5102183634086555,4,False,True
139-011,Jandial complex,250,correlation_adjusted,0.75,0.25,0.30892630119243925,17,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,correlation_adjusted,0.75,0.25,0.3423711916903184,16,False,False
139-013,Mohra Moradu stupa and monastery,250,correlation_adjusted,0.75,0.25,0.3692719691994235,15,False,False
139-014,Pippala stupa and monastery,250,correlation_adjusted,0.75,0.25,0.41472478784300915,12,False,False
139-015,Jaulian stupa and monastery,250,correlation_adjusted,0.75,0.25,0.44442851150837737,10,False,False
139-016,Lalchak mounds,250,correlation_adjusted,0.75,0.25,0.47801797465410284,9,False,False
139-017,Buddhist remains around Bhallar stupa,250,correlation_adjusted,0.75,0.25,0.41845810717957976,11,False,False
139-018,Giri Mosque and tombs,250,correlation_adjusted,0.75,0.25,0.5614647671487953,2,True,True
139-001,Khanpur Cave,250,reduced_slope_drainage,0.25,0.75,0.4426470588235294,11,False,False
139-003,Bhir Mound,250,reduced_slope_drainage,0.25,0.75,0.3382352941176471,13,False,False
139-004,Sirkap (fortified city),250,reduced_slope_drainage,0.25,0.75,0.34705882352941175,12,False,False
139-005,Sirsukh (fortified ruined city),250,reduced_slope_drainage,0.25,0.75,0.2639705882352941,15,False,False
139-006,Dharmarajika stupa and monastery,250,reduced_slope_drainage,0.25,0.75,0.4514705882352941,10,False,False
139-007,Khader Mohra (Akhuri),250,reduced_slope_drainage,0.25,0.75,0.7654411764705882,3,True,True
139-008,Kalawan group of buildings,250,reduced_slope_drainage,0.25,0.75,0.46691176470588236,8,False,False
139-009,Giri complex of monuments,250,reduced_slope_drainage,0.25,0.75,0.6705882352941177,5,False,True
139-010,Kunala stupa and monastery,250,reduced_slope_drainage,0.25,0.75,0.4625,9,False,False
139-011,Jandial complex,250,reduced_slope_drainage,0.25,0.75,0.3279411764705882,14,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,reduced_slope_drainage,0.25,0.75,0.1323529411764706,17,False,False
139-013,Mohra Moradu stupa and monastery,250,reduced_slope_drainage,0.25,0.75,0.7786764705882352,2,True,True
139-014,Pippala stupa and monastery,250,reduced_slope_drainage,0.25,0.75,0.5705882352941177,6,False,False
139-015,Jaulian stupa and monastery,250,reduced_slope_drainage,0.25,0.75,0.6757352941176471,4,False,True
139-016,Lalchak mounds,250,reduced_slope_drainage,0.25,0.75,0.19191176470588234,16,False,False
139-017,Buddhist remains around Bhallar stupa,250,reduced_slope_drainage,0.25,0.75,0.5529411764705883,7,False,False
139-018,Giri Mosque and tombs,250,reduced_slope_drainage,0.25,0.75,0.7889705882352941,1,True,True
139-001,Khanpur Cave,250,reduced_slope_drainage,0.5,0.5,0.41470588235294115,12,False,False
139-003,Bhir Mound,250,reduced_slope_drainage,0.5,0.5,0.4117647058823529,13,False,False
139-004,Sirkap (fortified city),250,reduced_slope_drainage,0.5,0.5,0.45882352941176474,11,False,False
139-005,Sirsukh (fortified ruined city),250,reduced_slope_drainage,0.5,0.5,0.35147058823529415,14,False,False
139-006,Dharmarajika stupa and monastery,250,reduced_slope_drainage,0.5,0.5,0.46176470588235297,10,False,False
139-007,Khader Mohra (Akhuri),250,reduced_slope_drainage,0.5,0.5,0.6191176470588236,2,True,True
139-008,Kalawan group of buildings,250,reduced_slope_drainage,0.5,0.5,0.49264705882352944,7,False,False
139-009,Giri complex of monuments,250,reduced_slope_drainage,0.5,0.5,0.6058823529411765,4,False,True
139-010,Kunala stupa and monastery,250,reduced_slope_drainage,0.5,0.5,0.4838235294117647,9,False,False
139-011,Jandial complex,250,reduced_slope_drainage,0.5,0.5,0.30294117647058827,15,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,reduced_slope_drainage,0.5,0.5,0.2058823529411765,17,False,False
139-013,Mohra Moradu stupa and monastery,250,reduced_slope_drainage,0.5,0.5,0.6161764705882353,3,True,True
139-014,Pippala stupa and monastery,250,reduced_slope_drainage,0.5,0.5,0.49411764705882355,6,False,False
139-015,Jaulian stupa and monastery,250,reduced_slope_drainage,0.5,0.5,0.5573529411764706,5,False,True
139-016,Lalchak mounds,250,reduced_slope_drainage,0.5,0.5,0.29558823529411765,16,False,False
139-017,Buddhist remains around Bhallar stupa,250,reduced_slope_drainage,0.5,0.5,0.48823529411764705,8,False,False
139-018,Giri Mosque and tombs,250,reduced_slope_drainage,0.5,0.5,0.6955882352941176,1,True,True
139-001,Khanpur Cave,250,reduced_slope_drainage,0.75,0.25,0.3867647058823529,15,False,False
139-003,Bhir Mound,250,reduced_slope_drainage,0.75,0.25,0.4852941176470588,6,False,False
139-004,Sirkap (fortified city),250,reduced_slope_drainage,0.75,0.25,0.5705882352941176,2,True,True
139-005,Sirsukh (fortified ruined city),250,reduced_slope_drainage,0.75,0.25,0.43897058823529417,10,False,False
139-006,Dharmarajika stupa and monastery,250,reduced_slope_drainage,0.75,0.25,0.47205882352941175,8,False,False
139-007,Khader Mohra (Akhuri),250,reduced_slope_drainage,0.75,0.25,0.4727941176470588,7,False,False
139-008,Kalawan group of buildings,250,reduced_slope_drainage,0.75,0.25,0.5183823529411765,4,False,True
139-009,Giri complex of monuments,250,reduced_slope_drainage,0.75,0.25,0.5411764705882353,3,True,True
139-010,Kunala stupa and monastery,250,reduced_slope_drainage,0.75,0.25,0.5051470588235294,5,False,True
139-011,Jandial complex,250,reduced_slope_drainage,0.75,0.25,0.27794117647058825,17,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,reduced_slope_drainage,0.75,0.25,0.27941176470588236,16,False,False
139-013,Mohra Moradu stupa and monastery,250,reduced_slope_drainage,0.75,0.25,0.45367647058823524,9,False,False
139-014,Pippala stupa and monastery,250,reduced_slope_drainage,0.75,0.25,0.41764705882352937,13,False,False
