radius_m,component_a,component_b,distance_m,intersection_area_m2,jaccard_overlap,flag_cluster_aware
250,Dharmarajika stupa and monastery,Lalchak mounds,3363.0917399596738,0.0,0.0,False
250,Dharmarajika stupa and monastery,Buddhist remains around Bhallar stupa,7801.525432605073,0.0,0.0,False
250,Dharmarajika stupa and monastery,Giri Mosque and tombs,3977.794884698132,0.0,0.0,False
250,Khader Mohra (Akhuri),Kalawan group of buildings,2523.36204908829,0.0,0.0,False
250,Khader Mohra (Akhuri),Giri complex of monuments,4094.504446224003,0.0,0.0,False
250,Khader Mohra (Akhuri),Kunala stupa and monastery,2941.54813299572,0.0,0.0,False
250,Khader Mohra (Akhuri),Jandial complex,2974.7070910684306,0.0,0.0,False
250,Khader Mohra (Akhuri),Lalchak and Badalpur Buddhist stuppa,2425.285544867534,0.0,0.0,False
250,Khader Mohra (Akhuri),Pippala stupa and monastery,792.1157863498661,0.0,0.0,False
250,Khader Mohra (Akhuri),Jaulian stupa and monastery,1430.9852135424212,0.0,0.0,False
250,Khader Mohra (Akhuri),Lalchak mounds,1837.8327616037952,0.0,0.0,False
250,Khader Mohra (Akhuri),Buddhist remains around Bhallar stupa,6700.240453556556,0.0,0.0,False
250,Khader Mohra (Akhuri),Giri Mosque and tombs,4098.263908922641,0.0,0.0,False
250,Kalawan group of buildings,Giri complex of monuments,4466.264282366186,0.0,0.0,False
250,Kalawan group of buildings,Kunala stupa and monastery,903.4151413918272,0.0,0.0,False
250,Kalawan group of buildings,Jandial complex,2251.3183548617594,0.0,0.0,False
250,Kalawan group of buildings,Lalchak and Badalpur Buddhist stuppa,4730.260082120741,0.0,0.0,False
250,Kalawan group of buildings,Mohra Moradu stupa and monastery,2567.59283700232,0.0,0.0,False
250,Kalawan group of buildings,Pippala stupa and monastery,3312.0279898420445,0.0,0.0,False
250,Kalawan group of buildings,Jaulian stupa and monastery,3896.2849356619836,0.0,0.0,False
250,Kalawan group of buildings,Lalchak mounds,3250.7026043297788,0.0,0.0,False
250,Kalawan group of buildings,Buddhist remains around Bhallar stupa,7573.35575290825,0.0,0.0,False
250,Kalawan group of buildings,Giri Mosque and tombs,4300.867829907855,0.0,0.0,False
250,Giri complex of monuments,Kunala stupa and monastery,5365.184095194869,0.0,0.0,False
250,Giri complex of monuments,Jandial complex,6388.531875892435,0.0,0.0,False
250,Giri complex of monuments,Lalchak and Badalpur Buddhist stuppa,6016.883406757395,0.0,0.0,False
250,Giri complex of monuments,Mohra Moradu stupa and monastery,4106.857208724669,0.0,0.0,False
250,Giri complex of monuments,Pippala stupa and monastery,4367.02871250067,0.0,0.0,False
250,Giri complex of monuments,Jaulian stupa and monastery,4056.6557176969663,0.0,0.0,False
250,Giri complex of monuments,Lalchak mounds,5929.575574090763,0.0,0.0,False
250,Giri complex of monuments,Buddhist remains around Bhallar stupa,10793.852370783505,0.0,0.0,False
250,Kunala stupa and monastery,Jandial complex,1559.9412434143971,0.0,0.0,False
