spatial_state_id,decision_setting_id,joint_draw_id,block_size_m,maximum_displacement_m,landscape_weight,terrain_model,component_id,component_name,score,rank,top3,top5
0,2,2,150,120.0,0.30958021296681626,reduced_slope_drainage,139-012,Lalchak and Badalpur Buddhist stuppa,0.2167574312378001,17,False,False
0,2,2,150,120.0,0.30958021296681626,reduced_slope_drainage,139-013,Mohra Moradu stupa and monastery,0.6575381413381693,5,False,True
0,2,2,150,120.0,0.30958021296681626,reduced_slope_drainage,139-014,Pippala stupa and monastery,0.5360602784583224,7,False,False
0,2,2,150,120.0,0.30958021296681626,reduced_slope_drainage,139-015,Jaulian stupa and monastery,0.7223231757886838,4,False,True
0,2,2,150,120.0,0.30958021296681626,reduced_slope_drainage,139-016,Lalchak mounds,0.21693789277139286,16,False,False
0,2,2,150,120.0,0.30958021296681626,reduced_slope_drainage,139-017,Buddhist remains around Bhallar stupa,0.6354967365190979,6,False,False
0,2,2,150,120.0,0.30958021296681626,reduced_slope_drainage,139-018,Giri Mosque and tombs,0.7944437327053284,1,True,True
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-001,Khanpur Cave,0.3980822659669401,13,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-003,Bhir Mound,0.34726321685181527,17,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-004,Sirkap (fortified city),0.42459386189045933,11,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-005,Sirsukh (fortified ruined city),0.4200141838171426,12,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-006,Dharmarajika stupa and monastery,0.48562264464026794,8,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-007,Khader Mohra (Akhuri),0.5680455145559558,5,False,True
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-008,Kalawan group of buildings,0.4422990996302123,10,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-009,Giri complex of monuments,0.6909033309956296,2,True,True
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-010,Kunala stupa and monastery,0.378505375968441,14,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-011,Jandial complex,0.4668148693799392,9,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-012,Lalchak and Badalpur Buddhist stuppa,0.3723479033014312,15,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-013,Mohra Moradu stupa and monastery,0.5484735117210569,6,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-014,Pippala stupa and monastery,0.5395498317769611,7,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-015,Jaulian stupa and monastery,0.6630075320963871,3,True,True
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-016,Lalchak mounds,0.35321448972265174,16,False,False
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-017,Buddhist remains around Bhallar stupa,0.7448400085899586,1,True,True
0,3,3,150,120.0,0.010905539264919929,correlation_adjusted,139-018,Giri Mosque and tombs,0.65642235909475,4,False,True
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-001,Khanpur Cave,0.4445931410447653,12,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-003,Bhir Mound,0.3463545461077799,16,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-004,Sirkap (fortified city),0.4751674615525946,11,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-005,Sirsukh (fortified ruined city),0.36276876368898603,14,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-006,Dharmarajika stupa and monastery,0.5278267847527431,8,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-007,Khader Mohra (Akhuri),0.6276503596428678,4,False,True
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-008,Kalawan group of buildings,0.5018316905033908,10,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-009,Giri complex of monuments,0.65706212434875,2,True,True
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-010,Kunala stupa and monastery,0.5442410023339493,6,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-011,Jandial complex,0.37893627071994057,13,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-012,Lalchak and Badalpur Buddhist stuppa,0.31956696188185796,17,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-013,Mohra Moradu stupa and monastery,0.5341667045652998,7,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-014,Pippala stupa and monastery,0.5154983723295108,9,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-015,Jaulian stupa and monastery,0.6441879324991997,3,True,True
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-016,Lalchak mounds,0.3464779013829058,15,False,False
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-017,Buddhist remains around Bhallar stupa,0.598485305487237,5,False,True
0,4,4,150,120.0,0.5892221363186536,reduced_slope_drainage,139-018,Giri Mosque and tombs,0.6751846771582213,1,True,True
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-001,Khanpur Cave,0.4105415208427517,16,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-003,Bhir Mound,0.4078431326879448,17,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-004,Sirkap (fortified city),0.493186789846881,8,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-005,Sirsukh (fortified ruined city),0.4518917810035159,12,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-006,Dharmarajika stupa and monastery,0.5306579637843716,5,False,True
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-007,Khader Mohra (Akhuri),0.5252728184329455,6,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-008,Kalawan group of buildings,0.4869858980082954,9,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-009,Giri complex of monuments,0.6071184128510503,2,True,True
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-010,Kunala stupa and monastery,0.4737801388776824,10,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-011,Jandial complex,0.4361998740249877,13,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-012,Lalchak and Badalpur Buddhist stuppa,0.4154642707926405,15,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-013,Mohra Moradu stupa and monastery,0.46265698553402024,11,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-014,Pippala stupa and monastery,0.5157377246568731,7,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-015,Jaulian stupa and monastery,0.6043741369801334,3,True,True
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-016,Lalchak mounds,0.4337722241328097,14,False,False
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-017,Buddhist remains around Bhallar stupa,0.6567456492984602,1,True,True
0,5,5,150,120.0,0.44500586636629813,correlation_adjusted,139-018,Giri Mosque and tombs,0.5877706782446361,4,False,True
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-001,Khanpur Cave,0.4064423979599608,15,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-003,Bhir Mound,0.3879122040957766,17,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-004,Sirkap (fortified city),0.4706195622408659,10,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-005,Sirsukh (fortified ruined city),0.44140397981656565,13,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-006,Dharmarajika stupa and monastery,0.5158412424733902,7,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-007,Khader Mohra (Akhuri),0.5393451316799343,5,False,True
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-008,Kalawan group of buildings,0.4722838408133758,9,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-009,Giri complex of monuments,0.6346838394052474,2,True,True
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-010,Kunala stupa and monastery,0.44243452754807167,12,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-011,Jandial complex,0.44627227636901984,11,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-012,Lalchak and Badalpur Buddhist stuppa,0.4012788888923826,16,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-013,Mohra Moradu stupa and monastery,0.4908908157045417,8,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-014,Pippala stupa and monastery,0.523571961467689,6,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-015,Jaulian stupa and monastery,0.6236646558765212,3,True,True
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-016,Lalchak mounds,0.40726854828718984,14,False,False
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-017,Buddhist remains around Bhallar stupa,0.6857288916846195,1,True,True
0,6,6,150,120.0,0.30218588218707915,correlation_adjusted,139-018,Giri Mosque and tombs,0.610357235684848,4,False,True
0,7,7,150,120.0,0.2614332159767831,reduced_slope_drainage,139-001,Khanpur Cave,0.4590544169422007,11,False,False
0,7,7,150,120.0,0.2614332159767831,reduced_slope_drainage,139-003,Bhir Mound,0.23548476422744133,15,False,False
0,7,7,150,120.0,0.2614332159767831,reduced_slope_drainage,139-004,Sirkap (fortified city),0.3908100188175544,12,False,False
0,7,7,150,120.0,0.2614332159767831,reduced_slope_drainage,139-005,Sirsukh (fortified ruined city),0.25912961975736526,14,False,False
0,7,7,150,120.0,0.2614332159767831,reduced_slope_drainage,139-006,Dharmarajika stupa and monastery,0.4796225317612916,9,False,False
0,7,7,150,120.0,0.2614332159767831,reduced_slope_drainage,139-007,Khader Mohra (Akhuri),0.7529814174206417,3,True,True
0,7,7,150,120.0,0.2614332159767831,reduced_slope_drainage,139-008,Kalawan group of buildings,0.46808871340937475,10,False,False
0,7,7,150,120.0,0.2614332159767831,reduced_slope_drainage,139-009,Giri complex of monuments,0.7823931821265241,2,True,True
