radius_m,indicator,direction_agreement_fraction,spearman_delta_rho,median_absolute_delta_difference
250,MNDWI,0.7647058823529411,0.985294117647059,0.02949264645576477
250,NDBI,1.0,0.9681372549019608,0.009106260258704424
250,NDVI,1.0,0.9705882352941178,0.025712087750434875
500,MNDWI,0.5882352941176471,0.9877450980392157,0.030288875102996826
500,NDBI,1.0,0.9142156862745098,0.011677429909468628
500,NDVI,1.0,0.985294117647059,0.03049848973751068
1000,MNDWI,0.7058823529411765,0.985294117647059,0.030739694833755493
1000,NDBI,1.0,0.9191176470588237,0.010916965082287788
1000,NDVI,0.9411764705882353,0.9754901960784315,0.03173786401748657
